instance,mip,time,val
270_101_4_5,BinP,1.93,0.00
270_101_4_5,3Idx,59.71,0.00
160_60_4_2,BinP,0.75,0.00
160_60_4_2,3Idx,6.54,0.00
270_101_4_8,BinP,5.31,0.00
270_101_4_8,3Idx,50.35,0.00
150_56_4_7,BinP,1.44,0.00
150_56_4_7,3Idx,7.78,0.00
300_112_4_8,BinP,4.46,0.00
300_112_4_8,3Idx,79.02,0.00
230_86_4_3,BinP,1.24,0.00
230_86_4_3,3Idx,28.44,0.00
170_63_4_2,BinP,2.74,0.00
170_63_4_2,3Idx,9.12,0.00
320_120_4_9,BinP,4.37,0.00
320_120_4_9,3Idx,91.16,0.00
290_108_4_9,BinP,3.46,0.00
290_108_4_9,3Idx,65.19,0.00
200_75_4_4,BinP,1.72,0.00
200_75_4_4,3Idx,18.08,0.00
280_105_4_7,BinP,2.78,0.00
280_105_4_7,3Idx,71.37,0.00
300_112_4_1,BinP,7.59,0.00
300_112_4_1,3Idx,117.47,0.00
280_105_4_0,BinP,5.68,0.00
280_105_4_0,3Idx,64.85,0.00
220_82_4_9,BinP,1.29,0.00
220_82_4_9,3Idx,24.64,0.00
300_112_4_6,BinP,3.25,0.00
300_112_4_6,3Idx,94.28,0.00
300_112_4_0,BinP,4.03,0.00
300_112_4_0,3Idx,71.49,0.00
270_101_4_0,BinP,4.05,0.00
270_101_4_0,3Idx,61.25,0.00
180_67_4_9,BinP,1.82,0.00
180_67_4_9,3Idx,11.40,0.00
170_63_4_8,BinP,1.32,0.00
170_63_4_8,3Idx,9.86,0.00
320_120_4_2,BinP,10.82,0.00
320_120_4_2,3Idx,95.77,0.00
190_71_4_9,BinP,1.57,0.00
190_71_4_9,3Idx,14.78,0.00
270_101_4_6,BinP,5.26,0.00
270_101_4_6,3Idx,50.32,0.00
290_108_4_6,BinP,3.01,0.00
290_108_4_6,3Idx,76.64,0.00
190_71_4_3,BinP,1.90,1.00
190_71_4_3,3Idx,15.27,1.00
340_127_4_5,BinP,17.44,0.00
340_127_4_5,3Idx,164.47,0.00
