lower bound for relaxed s_ij: 129766.36

#####################################################

solved with: SP.mip_formulations.BinPackingFormulation
time limit: 900 s
time to solve: 903,69 s (time limit exceeded)
objective value: 221201.86 (not optimal)

stacks (top to bottom):
stack   0:    1 6 
stack   1:    3 0 
stack   2:    4 257 
stack   3:    10 11 
stack   4:    2 9 
stack   5:    14 7 
stack   6:    5 12 
stack   7:    15 13 
stack   8:    17 18 
stack   9:    16 19 
stack  10:    250 20 
stack  11:    252 24 
stack  12:    27 22 
stack  13:    25 28 
stack  14:    29 23 
stack  15:    33 26 
stack  16:    31 32 
stack  17:    34 261 
stack  18:    36 37 
stack  19:    42 35 
stack  20:    43 41 
stack  21:    39 47 
stack  22:    49 40 
stack  23:    46 44 
stack  24:    50 253 
stack  25:    45 254 
stack  26:    55 255 
stack  27:    53 51 
stack  28:    58 263 
stack  29:    60 57 
stack  30:    61 63 
stack  31:    59 65 
stack  32:    64 62 
stack  33:    66 67 
stack  34:    68 77 
stack  35:    69 73 
stack  36:    70 78 
stack  37:    71 72 
stack  38:    79 75 
stack  39:    76 74 
stack  40:    258 82 
stack  41:    81 83 
stack  42:    85 84 
stack  43:    88 87 
stack  44:    89 86 
stack  45:    92 95 
stack  46:    267 90 
stack  47:    91 94 
stack  48:    97 93 
stack  49:    96 103 
stack  50:    105 101 
stack  51:    100 102 
stack  52:    265 104 
stack  53:    107 268 
stack  54:    110 108 
stack  55:    115 111 
stack  56:    106 270 
stack  57:    116 112 
stack  58:    117 122 
stack  59:    123 113 
stack  60:    118 376 
stack  61:    126 124 
stack  62:    120 119 
stack  63:    125 121 
stack  64:    127 129 
stack  65:    128 130 
stack  66:    132 131 
stack  67:    136 138 
stack  68:    137 134 
stack  69:    135 140 
stack  70:    139 368 
stack  71:    141 142 
stack  72:    143 144 
stack  73:    145 146 
stack  74:    149 150 
stack  75:    152 147 
stack  76:    153 151 
stack  77:    155 156 
stack  78:    162 154 
stack  79:    160 157 
stack  80:    274 158 
stack  81:    159 168 
stack  82:    164 163 
stack  83:    166 165 
stack  84:    169 283 
stack  85:    173 167 
stack  86:    170 175 
stack  87:    311 174 
stack  88:    177 176 
stack  89:    291 178 
stack  90:    183 186 
stack  91:    184 179 
stack  92:    187 180 
stack  93:    185 190 
stack  94:    189 287 
stack  95:    191 182 
stack  96:    193 192 
stack  97:    196 305 
stack  98:    201 195 
stack  99:    204 199 
stack 100:    200 198 
stack 101:    197 317 
stack 102:    323 202 
stack 103:    203 
stack 104:    341 213 
stack 105:    210 350 
stack 106:    208 214 
stack 107:    215 212 
stack 108:    329 216 
stack 109:    218 220 
stack 110:    223 219 
stack 111:    355 397 
stack 112:    226 227 
stack 113:    228 381 
stack 114:    221 369 
stack 115:    229 231 
stack 116:    232 233 
stack 117:    234 235 
stack 118:    80 241 
stack 119:    239 238 
stack 120:    242 237 
stack 121:    206 399 
stack 122:    244 245 
stack 123:    247 246 
stack 124:    372 249 
stack 125:    375 
stack 126:    389 248 
stack 127:    433 
stack 128:    380 490 
stack 129:    240 458 
stack 130:    262 264 
stack 131:    260 
stack 132:    434 222 
stack 133:    266 
stack 134:    269 271 
stack 135:    205 461 
stack 136:    273 
stack 137:    224 276 
stack 138:    279 275 
stack 139:    277 278 
stack 140:    282 284 
stack 141:    280 281 
stack 142:    441 448 
stack 143:    288 285 
stack 144:    414 286 
stack 145:    289 290 
stack 146:    294 409 
stack 147:    405 293 
stack 148:    298 302 
stack 149:    411 297 
stack 150:    295 300 
stack 151:    303 306 
stack 152:    251 301 
stack 153:    312 299 
stack 154:    256 307 
stack 155:    308 309 
stack 156:    310 316 
stack 157:    313 314 
stack 158:    315 259 
stack 159:    8 319 
stack 160:    320 322 
stack 161:    327 324 
stack 162:    321 318 
stack 163:    328 325 
stack 164:    326 
stack 165:    330 332 
stack 166:    331 333 
stack 167:    334 335 
stack 168:    336 337 
stack 169:    338 
stack 170:    340 
stack 171:    272 344 
stack 172:    21 
stack 173:    346 348 
stack 174:    349 
stack 175:    351 347 
stack 176:    352 
stack 177:    353 
stack 178:    356 357 
stack 179:    359 
stack 180:    361 362 
stack 181:    358 363 
stack 182:    30 366 
stack 183:    367 365 
stack 184:    38 364 
stack 185:    370 371 
stack 186:    
stack 187:    373 378 
stack 188:    377 374 
stack 189:    379 
stack 190:    
stack 191:    383 292 
stack 192:    386 387 
stack 193:    385 
stack 194:    391 
stack 195:    390 388 
stack 196:    392 296 
stack 197:    394 395 
stack 198:    396 393 
stack 199:    398 
stack 200:    48 402 
stack 201:    304 403 
stack 202:    52 407 
stack 203:    401 404 
stack 204:    400 54 
stack 205:    408 412 
stack 206:    410 406 
stack 207:    415 417 
stack 208:    413 416 
stack 209:    418 421 
stack 210:    56 420 
