instance,solver,time,val
500_300_2_00,LB,-,129716.54
500_300_2_00,BinP,904.33,214640.06
500_300_2_00,3Idx,333.37,129739.68
500_300_2_00,2Cap,2.10,129779.66
500_300_2_01,LB,-,129767.46
500_300_2_01,BinP,903.80,226413.30
500_300_2_01,3Idx,421.77,129785.72
500_300_2_01,2Cap,2.09,129816.02
500_300_2_02,LB,-,129717.72
500_300_2_02,BinP,833.26,129737.24
500_300_2_02,3Idx,436.16,129737.24
500_300_2_02,2Cap,1.60,129773.60
500_300_2_03,LB,-,129754.24
500_300_2_03,BinP,903.10,130435.56
500_300_2_03,3Idx,333.32,129774.94
500_300_2_03,2Cap,1.79,129774.94
500_300_2_04,LB,-,129759.04
500_300_2_04,BinP,904.16,225469.28
500_300_2_04,3Idx,900.71,130244.00
500_300_2_04,2Cap,1.67,129805.24
500_300_2_05,LB,-,129726.22
500_300_2_05,BinP,887.53,129761.48
500_300_2_05,3Idx,279.58,129761.48
500_300_2_05,2Cap,1.76,129791.78
500_300_2_06,LB,-,129745.66
500_300_2_06,BinP,903.70,223842.76
500_300_2_06,3Idx,647.71,129771.24
500_300_2_06,2Cap,1.72,129802.72
500_300_2_07,LB,-,129754.24
500_300_2_07,BinP,902.77,220100.12
500_300_2_07,3Idx,470.29,129771.24
500_300_2_07,2Cap,1.59,129794.30
500_300_2_08,LB,-,129717.72
500_300_2_08,BinP,901.62,130782.08
500_300_2_08,3Idx,462.01,129743.30
500_300_2_08,2Cap,1.60,129779.66
500_300_2_09,LB,-,129705.6
500_300_2_09,BinP,902.97,218283.22
500_300_2_09,3Idx,900.70,130551.72
500_300_2_09,2Cap,1.85,129777.22
500_300_2_10,LB,-,129703.16
500_300_2_10,BinP,903.78,224401.46
500_300_2_10,3Idx,901.18,134944.28
500_300_2_10,2Cap,1.76,129788.16
500_300_2_11,LB,-,129739.6
500_300_2_11,BinP,902.73,130302.08
500_300_2_11,3Idx,900.76,138157.26
500_300_2_11,2Cap,1.84,129794.22
500_300_2_12,LB,-,129716.62
500_300_2_12,BinP,901.75,129743.38
500_300_2_12,3Idx,279.85,129743.38
500_300_2_12,2Cap,1.59,129761.56
500_300_2_13,LB,-,129737.16
500_300_2_13,BinP,904.43,214415.76
500_300_2_13,3Idx,434.65,129760.30
500_300_2_13,2Cap,1.46,129783.36
500_300_2_14,LB,-,129743.38
500_300_2_14,BinP,904.16,224173.62
500_300_2_14,3Idx,684.65,129773.68
500_300_2_14,2Cap,1.57,129790.68
500_300_2_15,LB,-,129766.36
500_300_2_15,BinP,903.69,221201.86
500_300_2_15,3Idx,726.13,129790.68
500_300_2_15,2Cap,1.36,129808.86
500_300_2_16,LB,-,129725.04
500_300_2_16,BinP,904.11,227997.40
500_300_2_16,3Idx,900.98,133946.66
500_300_2_16,2Cap,1.79,129802.72
500_300_2_17,LB,-,129735.98
500_300_2_17,BinP,903.87,223896.20
500_300_2_17,3Idx,770.57,129769.98
500_300_2_17,2Cap,1.73,129791.78
500_300_2_18,LB,-,129733.54
500_300_2_18,BinP,903.01,209139.86
500_300_2_18,3Idx,356.14,129766.36
500_300_2_18,2Cap,1.81,129823.34
500_300_2_19,LB,-,129721.42
500_300_2_19,BinP,902.07,224529.82
500_300_2_19,3Idx,901.00,130536.06
500_300_2_19,2Cap,1.54,129760.30
