instance,solver,time,val
100_60_2_00,LB,-,6553.48
100_60_2_00,3Idx,0.51,8460.02
100_60_2_00,2Cap,0.10,6577.72
100_60_2_01,LB,-,6568.04
100_60_2_01,3Idx,0.51,8158.2
100_60_2_01,2Cap,0.04,6609.28
100_60_2_02,LB,-,6559.54
100_60_2_02,3Idx,0.51,8244.3
100_60_2_02,2Cap,0.05,6592.28
100_60_2_03,LB,-,6547.42
100_60_2_03,3Idx,0.51,8927.82
100_60_2_03,2Cap,0.03,6555.92
100_60_2_04,LB,-,6546.24
100_60_2_04,3Idx,0.51,7873.46
100_60_2_04,2Cap,0.03,6589.92
100_60_2_05,LB,-,6586.22
100_60_2_05,3Idx,0.51,6798.32
100_60_2_05,2Cap,0.03,6631.08
100_60_2_06,LB,-,6547.42
100_60_2_06,3Idx,0.51,9498.72
100_60_2_06,2Cap,0.03,6582.6
100_60_2_07,LB,-,6547.42
100_60_2_07,3Idx,0.50,8612.7
100_60_2_07,2Cap,0.04,6575.28
100_60_2_08,LB,-,6555.92
100_60_2_08,3Idx,0.51,8479.46
100_60_2_08,2Cap,0.03,6575.36
100_60_2_09,LB,-,6551.04
100_60_2_09,3Idx,0.51,8205.5
100_60_2_09,2Cap,0.03,6563.16
100_60_2_10,LB,-,6549.86
100_60_2_10,3Idx,0.51,8950.88
100_60_2_10,2Cap,0.03,6555.92
100_60_2_11,LB,-,6544.98
100_60_2_11,BinP,0.50,11218.58
100_60_2_11,3Idx,0.50,8342.44
100_60_2_11,2Cap,0.03,6561.98
100_60_2_12,LB,-,6558.36
100_60_2_12,3Idx,0.51,8559.42
100_60_2_12,2Cap,0.03,6578.98
100_60_2_13,LB,-,6566.86
100_60_2_13,3Idx,0.50,8001.9
100_60_2_13,2Cap,0.03,6572.92
100_60_2_14,LB,-,6565.6
100_60_2_14,3Idx,0.51,9419.94
100_60_2_14,2Cap,0.03,6612.9
100_60_2_15,LB,-,6557.18
100_60_2_15,3Idx,0.51,8843.06
100_60_2_15,2Cap,0.03,6593.54
100_60_2_16,LB,-,6547.42
100_60_2_16,3Idx,0.50,8165.52
100_60_2_16,2Cap,0.03,6558.36
100_60_2_17,LB,-,6553.48
100_60_2_17,3Idx,0.51,8349.76
100_60_2_17,2Cap,0.03,6612.9
100_60_2_18,LB,-,6555.92
100_60_2_18,3Idx,0.51,7789.72
100_60_2_18,2Cap,0.03,6570.48
100_60_2_19,LB,-,6566.86
100_60_2_19,3Idx,0.51,8546.12
100_60_2_19,2Cap,0.03,6578.98
