instance,solver,time,val
100_60_2_00,TS,17.92,6568.04
100_60_2_00,OPT,0.92,6565.6
100_60_2_00,2Cap,0.1,6577.72
100_60_2_01,TS,32.96,6608.1
100_60_2_01,OPT,0.68,6578.98
100_60_2_01,2Cap,0.04,6609.28
100_60_2_02,TS,17.71,6564.42
100_60_2_02,OPT,0.64,6561.98
100_60_2_02,2Cap,0.05,6592.28
100_60_2_03,TS,16.28,6555.92
100_60_2_03,OPT,0.71,6549.86
100_60_2_03,2Cap,0.03,6555.92
100_60_2_04,TS,20.88,6571.74
100_60_2_04,OPT,0.8,6557.18
100_60_2_04,2Cap,0.03,6589.92
100_60_2_05,TS,19.38,6597.16
100_60_2_05,OPT,0.65,6588.66
100_60_2_05,2Cap,0.03,6631.08
100_60_2_06,TS,18.43,6582.6
100_60_2_06,OPT,0.71,6569.3
100_60_2_06,2Cap,0.02,6582.6
100_60_2_07,TS,19.34,6551.04
100_60_2_07,OPT,0.67,6547.42
100_60_2_07,2Cap,0.04,6575.28
100_60_2_08,TS,17.18,6575.36
100_60_2_08,OPT,0.69,6565.68
100_60_2_08,2Cap,0.02,6575.36
100_60_2_09,TS,14.06,6563.16
100_60_2_09,OPT,0.64,6551.04
100_60_2_09,2Cap,0.03,6563.16
100_60_2_10,TS,15.29,6555.92
100_60_2_10,OPT,0.65,6549.86
100_60_2_10,2Cap,0.03,6555.92
100_60_2_11,TS,14.32,6561.98
100_60_2_11,OPT,0.65,6549.86
100_60_2_11,2Cap,0.03,6561.98
100_60_2_12,TS,13.63,6578.98
100_60_2_12,OPT,0.69,6563.24
100_60_2_12,2Cap,0.02,6578.98
100_60_2_13,TS,18.65,6572.92
100_60_2_13,OPT,0.71,6570.48
100_60_2_13,2Cap,0.03,6572.92
100_60_2_14,TS,15.81,6600.78
100_60_2_14,OPT,0.76,6580.16
100_60_2_14,2Cap,0.03,6612.9
100_60_2_15,TS,27.17,6583.86
100_60_2_15,OPT,0.74,6562.06
100_60_2_15,2Cap,0.03,6593.54
100_60_2_16,TS,17.62,6555.92
100_60_2_16,OPT,0.74,6552.3
100_60_2_16,2Cap,0.11,6558.36
100_60_2_17,TS,28.24,6587.48
100_60_2_17,OPT,0.75,6576.54
100_60_2_17,2Cap,0.03,6612.9
100_60_2_18,TS,29.54,6566.86
100_60_2_18,OPT,0.88,6560.8
100_60_2_18,2Cap,0.04,6570.48
100_60_2_19,TS,17.97,6578.98
100_60_2_19,OPT,0.68,6572.92
100_60_2_19,2Cap,0.02,6578.98
