instance,solver,time,val
300_120_3_00,LB,-,78740.72
300_120_3_00,BinP,163.49,78743.16
300_120_3_00,3Idx,300.15,78743.16
300_120_3_00,3Cap,1.48,78797.70
300_120_3_01,LB,-,78755.36
300_120_3_01,BinP,144.91,78757.80
300_120_3_01,3Idx,300.64,90910.78
300_120_3_01,3Cap,1.60,78757.80
300_120_3_02,LB,-,78751.66
300_120_3_02,BinP,154.14,78761.42
300_120_3_02,3Idx,285.60,78761.42
300_120_3_02,3Cap,1.47,78791.72
300_120_3_03,LB,-,78750.48
300_120_3_03,BinP,163.22,78757.80
300_120_3_03,3Idx,273.24,78757.80
300_120_3_03,3Cap,1.45,78761.42
300_120_3_04,LB,-,78740.72
300_120_3_04,BinP,163.62,78745.60
300_120_3_04,3Idx,301.41,91067.16
300_120_3_04,3Cap,1.59,78767.40
300_120_3_05,LB,-,78767.4
300_120_3_05,BinP,195.41,78772.28
300_120_3_05,3Idx,300.37,90098.82
300_120_3_05,3Cap,1.52,78826.82
300_120_3_06,LB,-,78728.6
300_120_3_06,BinP,164.00,78739.54
300_120_3_06,3Idx,300.08,92127.58
300_120_3_06,3Cap,1.55,78749.22
300_120_3_07,LB,-,78743.16
300_120_3_07,BinP,176.01,78748.04
300_120_3_07,3Idx,300.13,78748.04
300_120_3_07,3Cap,1.53,78761.34
300_120_3_08,LB,-,78751.66
300_120_3_08,BinP,170.28,78762.60
300_120_3_08,3Idx,281.11,78762.60
300_120_3_08,3Cap,1.49,78788.02
300_120_3_09,LB,-,78763.78
300_120_3_09,BinP,187.08,78768.66
300_120_3_09,3Idx,255.28,78768.66
300_120_3_09,3Cap,1.48,78800.14
300_120_3_10,LB,-,78734.66
300_120_3_10,BinP,140.65,78748.04
300_120_3_10,3Idx,300.13,92344.56
300_120_3_10,3Cap,1.47,78777.08
300_120_3_11,LB,-,78735.92
300_120_3_11,BinP,154.03,78745.68
300_120_3_11,3Idx,238.03,78745.68
300_120_3_11,3Cap,1.43,78778.34
300_120_3_12,LB,-,78754.02
300_120_3_12,BinP,152.96,78772.28
300_120_3_12,3Idx,300.14,91316.80
300_120_3_12,3Cap,1.53,78784.40
300_120_3_13,LB,-,78729.78
300_120_3_13,BinP,162.19,78741.98
300_120_3_13,3Idx,295.09,78741.98
300_120_3_13,3Cap,1.41,78775.90
300_120_3_14,LB,-,78740.8
300_120_3_14,BinP,135.69,78760.24
300_120_3_14,3Idx,197.18,78760.24
300_120_3_14,3Cap,1.47,78779.60
300_120_3_15,LB,-,78738.28
300_120_3_15,BinP,197.00,78743.16
300_120_3_15,3Idx,300.13,79165.00
300_120_3_15,3Cap,1.48,78790.38
300_120_3_16,LB,-,78746.78
300_120_3_16,BinP,162.54,78765.04
300_120_3_16,3Idx,300.09,90704.58
300_120_3_16,3Cap,1.40,78802.58
300_120_3_17,LB,-,78735.84
300_120_3_17,BinP,187.70,78757.72
300_120_3_17,3Idx,301.41,81158.98
300_120_3_17,3Cap,1.48,78775.90
300_120_3_18,LB,-,78734.66
300_120_3_18,BinP,142.73,78739.54
300_120_3_18,3Idx,300.13,78739.54
300_120_3_18,3Cap,1.44,78761.34
300_120_3_19,LB,-,78748.04
300_120_3_19,BinP,161.09,78756.54
300_120_3_19,3Idx,300.10,92910.50
300_120_3_19,3Cap,1.48,78792.90
