instance,solver,time,val
300_120_3_00,BinP,481.61,26109.00
300_120_3_00,3CapRec,0.07,35148.00
300_120_3_00,3Cap,1.05,26181.00
300_120_3_01,BinP,444.05,26113.00
300_120_3_01,3CapRec,0.07,34839.00
300_120_3_01,3Cap,1.10,26196.00
300_120_3_02,BinP,834.33,26113.00
300_120_3_02,3CapRec,0.07,35157.00
300_120_3_02,3Cap,1.00,26223.00
300_120_3_03,BinP,669.29,26113.00
300_120_3_03,3CapRec,0.07,34523.00
300_120_3_03,3Cap,1.03,26184.00
300_120_3_04,BinP,660.58,26111.00
300_120_3_04,3Idx,714.97,26111.00
300_120_3_04,3CapRec,0.07,35710.00
300_120_3_04,3Cap,1.01,26226.00
300_120_3_05,BinP,919.25,26111.00
300_120_3_05,3CapRec,0.17,35972.00
300_120_3_05,3Cap,0.96,26198.00
300_120_3_06,BinP,896.40,26108.00
300_120_3_06,3Idx,680.16,26108.00
300_120_3_06,3CapRec,0.09,35018.00
300_120_3_06,3Cap,0.99,26272.00
300_120_3_07,BinP,1172.99,26117.00
300_120_3_07,3Idx,748.20,26117.00
300_120_3_07,3CapRec,0.09,35359.00
300_120_3_07,3Cap,0.99,26181.00
300_120_3_08,BinP,904.08,26110.00
300_120_3_08,3CapRec,0.06,35343.00
300_120_3_08,3Cap,0.98,26242.00
300_120_3_09,BinP,735.51,26117.00
300_120_3_09,3CapRec,0.14,34446.00
300_120_3_09,3Cap,1.00,26196.00
300_120_3_10,BinP,906.08,26115.00
300_120_3_10,3Idx,1200.20,26115.00
300_120_3_10,3CapRec,0.08,35596.00
300_120_3_10,3Cap,0.99,26152.00
300_120_3_11,BinP,779.41,26114.00
300_120_3_11,3CapRec,0.07,35125.00
300_120_3_11,3Cap,0.99,26191.00
300_120_3_12,BinP,701.11,26111.00
300_120_3_12,3CapRec,0.11,35082.00
300_120_3_12,3Cap,1.02,26185.00
300_120_3_13,BinP,950.65,26111.00
300_120_3_13,3Idx,1200.27,26111.00
300_120_3_13,3CapRec,0.07,34338.00
300_120_3_13,3Cap,0.99,26249.00
300_120_3_14,BinP,996.62,26112.00
300_120_3_14,3Idx,886.89,26112.00
300_120_3_14,3CapRec,0.11,35769.00
300_120_3_14,3Cap,0.99,26217.00
300_120_3_15,BinP,747.53,26115.00
300_120_3_15,3Idx,447.00,26115.00
300_120_3_15,3CapRec,0.08,35367.00
300_120_3_15,3Cap,1.01,26224.00
300_120_3_16,BinP,1158.30,26112.00
300_120_3_16,3CapRec,0.06,34950.00
300_120_3_16,3Cap,1.00,26173.00
300_120_3_17,BinP,699.02,26120.00
300_120_3_17,3CapRec,0.06,35551.00
300_120_3_17,3Cap,1.01,26247.00
300_120_3_18,BinP,581.12,26120.00
300_120_3_18,3CapRec,0.06,35219.00
300_120_3_18,3Cap,1.02,26205.00
300_120_3_19,BinP,589.93,26111.00
300_120_3_19,3Idx,485.27,26111.00
300_120_3_19,3CapRec,0.06,35793.00
300_120_3_19,3Cap,1.00,26146.00
