instance,solver,time,val
300_120_3_00,3Cap,1.48,78797.7
300_120_3_00,OPT,163.49,78743.16
300_120_3_00,3Cap + TS,603.08,78768.66
300_120_3_01,3Cap,1.60,78757.8
300_120_3_01,OPT,144.91,78757.8
300_120_3_01,3Cap + TS,1.6,78757.8
300_120_3_02,3Cap,1.47,78791.72
300_120_3_02,OPT,285.6,78761.42
300_120_3_02,3Cap + TS,257.55,78791.72
300_120_3_03,3Cap,1.45,78761.42
300_120_3_03,OPT,273.24,78757.8
300_120_3_03,3Cap + TS,332.09,78761.42
300_120_3_04,3Cap,1.59,78767.4
300_120_3_04,OPT,163.62,78745.6
300_120_3_04,3Cap + TS,431.35,78760.16
300_120_3_05,3Cap,1.52,78826.82
300_120_3_05,OPT,195.41,78772.28
300_120_3_05,3Cap + TS,312.1,78806.2
300_120_3_06,3Cap,1.55,78749.22
300_120_3_06,OPT,164.0,78739.54
300_120_3_06,3Cap + TS,316.77,78749.22
300_120_3_07,3Cap,1.53,78761.34
300_120_3_07,OPT,176.01,78748.04
300_120_3_07,3Cap + TS,380.59,78756.54
300_120_3_08,3Cap,1.49,78788.02
300_120_3_08,OPT,281.11,78762.6
300_120_3_08,3Cap + TS,663.94,78765.04
300_120_3_09,3Cap,1.48,78800.14
300_120_3_09,OPT,255.28,78768.66
300_120_3_09,3Cap + TS,354.03,78800.14
300_120_3_10,3Cap,1.47,78777.08
300_120_3_10,OPT,140.65,78748.04
300_120_3_10,3Cap + TS,406.41,78777.08
300_120_3_11,3Cap,1.43,78778.34
300_120_3_11,OPT,238.03,78745.68
300_120_3_11,3Cap + TS,673.14,78761.5
300_120_3_12,3Cap,1.53,78784.4
300_120_3_12,OPT,152.96,78772.28
300_120_3_12,3Cap + TS,704.74,78774.72
300_120_3_13,3Cap,1.41,78775.9
300_120_3_13,OPT,295.09,78741.98
300_120_3_13,3Cap + TS,252.23,78760.16
300_120_3_14,3Cap,1.47,78779.6
300_120_3_14,OPT,197.18,78760.24
300_120_3_14,3Cap + TS,186.92,78779.6
300_120_3_15,3Cap,1.48,78790.38
300_120_3_15,OPT,197.0,78743.16
300_120_3_15,3Cap + TS,602.97,78777.16
300_120_3_16,3Cap,1.40,78802.58
300_120_3_16,OPT,162.54,78765.04
300_120_3_16,3Cap + TS,286.21,78802.58
300_120_3_17,3Cap,1.48,78775.9
300_120_3_17,OPT,187.7,78757.72
300_120_3_17,3Cap + TS,373.98,78775.9
300_120_3_18,3Cap,1.44,78761.34
300_120_3_18,OPT,142.73,78739.54
300_120_3_18,3Cap + TS,396.46,78760.16
300_120_3_19,3Cap,1.48,78792.9
300_120_3_19,OPT,161.09,78756.54
300_120_3_19,3Cap + TS,297.25,78780.78
