instance,solver,time,val
100_41_3_00,LB,-,9635.66
100_41_3_00,BinP,0.52,9807.78
100_41_3_00,3Cap,0.18,9638.1
100_41_3_01,LB,-,9608.98
100_41_3_01,BinP,0.52,11633.1
100_41_3_01,3Cap,0.15,9618.74
100_41_3_02,LB,-,9615.04
100_41_3_02,BinP,0.51,12635.36
100_41_3_02,3Cap,0.10,9625.98
100_41_3_03,LB,-,9615.04
100_41_3_03,3Cap,0.09,9647.78
100_41_3_04,LB,-,9604.1
100_41_3_04,3Cap,0.09,9645.34
100_41_3_05,LB,-,9622.36
100_41_3_05,BinP,0.59,12702.02
100_41_3_05,3Cap,0.08,9635.66
100_41_3_06,LB,-,9612.6
100_41_3_06,BinP,0.51,9984.7
100_41_3_06,3Cap,0.11,9629.6
100_41_3_07,LB,-,9606.54
100_41_3_07,BinP,0.51,9798.02
100_41_3_07,3Cap,0.10,9627.16
100_41_3_08,LB,-,9623.54
100_41_3_08,BinP,0.54,9886.56
100_41_3_08,3Cap,0.09,9650.22
100_41_3_09,LB,-,9617.48
100_41_3_09,BinP,0.55,12296.0
100_41_3_09,3Cap,0.09,9625.98
100_41_3_10,LB,-,9608.98
100_41_3_10,BinP,0.51,9748.36
100_41_3_10,3Cap,0.10,9659.9
100_41_3_11,LB,-,9611.42
100_41_3_11,BinP,0.50,12068.16
100_41_3_11,3Cap,0.08,9652.66
100_41_3_12,LB,-,9617.48
100_41_3_12,BinP,0.53,9984.7
100_41_3_12,3Cap,0.08,9664.78
100_41_3_13,LB,-,9632.04
100_41_3_13,BinP,0.50,12427.04
100_41_3_13,3Cap,0.09,9640.54
100_41_3_14,LB,-,9617.48
100_41_3_14,BinP,0.60,12163.94
100_41_3_14,3Cap,0.10,9625.98
100_41_3_15,LB,-,9625.98
100_41_3_15,BinP,0.52,9937.48
100_41_3_15,3Cap,0.08,9650.22
100_41_3_16,LB,-,9627.16
100_41_3_16,3Cap,0.14,9644.16
100_41_3_17,LB,-,9636.84
100_41_3_17,BinP,0.60,12396.66
100_41_3_17,3Cap,0.08,9659.9
100_41_3_18,LB,-,9623.54
100_41_3_18,3Cap,0.09,9650.22
100_41_3_19,LB,-,9629.6
100_41_3_19,BinP,0.51,9884.12
100_41_3_19,3Cap,0.08,9640.54
