instance,solver,time,val
100_41_3_00,LB,-,9635.66
100_41_3_00,BinP,0.99,9638.10
100_41_3_00,3Idx,2.19,9638.10
100_41_3_00,3Cap,0.15,9638.10
100_41_3_01,LB,-,9608.98
100_41_3_01,BinP,1.14,9613.86
100_41_3_01,3Idx,2.74,9613.86
100_41_3_01,3Cap,0.11,9618.74
100_41_3_02,LB,-,9615.04
100_41_3_02,BinP,1.32,9619.92
100_41_3_02,3Idx,3.01,10934.94
100_41_3_02,3Cap,0.11,9625.98
100_41_3_03,LB,-,9615.04
100_41_3_03,BinP,1.38,9619.92
100_41_3_03,3Idx,3.01,9755.68
100_41_3_03,3Cap,0.08,9647.78
100_41_3_04,LB,-,9604.1
100_41_3_04,BinP,1.72,9608.98
100_41_3_04,3Idx,2.52,9608.98
100_41_3_04,3Cap,0.09,9645.34
100_41_3_05,LB,-,9622.36
100_41_3_05,BinP,1.24,9622.36
100_41_3_05,3Idx,2.53,9622.36
100_41_3_05,3Cap,0.08,9635.66
100_41_3_06,LB,-,9612.6
100_41_3_06,BinP,1.02,9612.60
100_41_3_06,3Idx,2.98,9612.60
100_41_3_06,3Cap,0.10,9629.60
100_41_3_07,LB,-,9606.54
100_41_3_07,BinP,0.97,9608.98
100_41_3_07,3Idx,3.01,9618.66
100_41_3_07,3Cap,0.10,9627.16
100_41_3_08,LB,-,9623.54
100_41_3_08,BinP,0.89,9623.54
100_41_3_08,3Idx,2.61,9623.54
100_41_3_08,3Cap,0.09,9650.22
100_41_3_09,LB,-,9617.48
100_41_3_09,BinP,1.04,9622.36
100_41_3_09,3Idx,3.01,9761.74
100_41_3_09,3Cap,0.10,9625.98
100_41_3_10,LB,-,9608.98
100_41_3_10,BinP,1.06,9608.98
100_41_3_10,3Idx,2.40,9608.98
100_41_3_10,3Cap,0.08,9659.90
100_41_3_11,LB,-,9611.42
100_41_3_11,BinP,1.26,9624.80
100_41_3_11,3Idx,3.01,9627.24
100_41_3_11,3Cap,0.08,9652.66
100_41_3_12,LB,-,9617.48
100_41_3_12,BinP,1.03,9623.54
100_41_3_12,3Idx,2.19,9623.54
100_41_3_12,3Cap,0.08,9664.78
100_41_3_13,LB,-,9632.04
100_41_3_13,BinP,1.33,9636.92
100_41_3_13,3Idx,2.30,9636.92
100_41_3_13,3Cap,0.12,9640.54
100_41_3_14,LB,-,9617.48
100_41_3_14,BinP,1.25,9621.10
100_41_3_14,3Idx,3.01,10456.20
100_41_3_14,3Cap,0.10,9625.98
100_41_3_15,LB,-,9625.98
100_41_3_15,BinP,0.66,9625.98
100_41_3_15,3Idx,3.01,11136.18
100_41_3_15,3Cap,0.08,9650.22
100_41_3_16,LB,-,9627.16
100_41_3_16,BinP,1.17,9629.60
100_41_3_16,3Idx,2.91,9629.60
100_41_3_16,3Cap,0.08,9644.16
100_41_3_17,LB,-,9636.84
100_41_3_17,BinP,1.14,9639.28
100_41_3_17,3Idx,3.01,10894.88
100_41_3_17,3Cap,0.14,9659.90
100_41_3_18,LB,-,9623.54
100_41_3_18,BinP,1.69,9625.98
100_41_3_18,3Idx,2.90,9625.98
100_41_3_18,3Cap,0.09,9650.22
100_41_3_19,LB,-,9629.6
100_41_3_19,BinP,0.74,9634.48
100_41_3_19,3Idx,2.82,9634.48
100_41_3_19,3Cap,0.07,9640.54
