instance,solver,time,val
100_41_3_00,3Cap,0.15,9638.1
100_41_3_00,OPT,2.19,9638.1
100_41_3_00,3Cap + TS,0.16,9638.1
100_41_3_01,3Cap,0.11,9618.74
100_41_3_01,OPT,2.74,9613.86
100_41_3_01,3Cap + TS,62.59,9618.74
100_41_3_02,3Cap,0.11,9625.98
100_41_3_02,OPT,1.32,9619.92
100_41_3_02,3Cap + TS,44.71,9625.98
100_41_3_03,3Cap,0.08,9647.78
100_41_3_03,OPT,1.38,9619.92
100_41_3_03,3Cap + TS,48.78,9647.78
100_41_3_04,3Cap,0.09,9645.34
100_41_3_04,OPT,2.52,9608.98
100_41_3_04,3Cap + TS,55.76,9627.16
100_41_3_05,3Cap,0.08,9635.66
100_41_3_05,OPT,2.53,9622.36
100_41_3_05,3Cap + TS,71.74,9635.66
100_41_3_06,3Cap,0.10,9629.6
100_41_3_06,OPT,2.98,9612.6
100_41_3_06,3Cap + TS,111.07,9628.42
100_41_3_07,3Cap,0.10,9627.16
100_41_3_07,OPT,0.97,9608.98
100_41_3_07,3Cap + TS,58.01,9625.98
100_41_3_08,3Cap,0.09,9650.22
100_41_3_08,OPT,2.61,9623.54
100_41_3_08,3Cap + TS,54.32,9638.1
100_41_3_09,3Cap,0.10,9625.98
100_41_3_09,OPT,1.04,9622.36
100_41_3_09,3Cap + TS,60.0,9625.98
100_41_3_10,3Cap,0.08,9659.9
100_41_3_10,OPT,2.4,9608.98
100_41_3_10,3Cap + TS,47.52,9635.66
100_41_3_11,3Cap,0.08,9652.66
100_41_3_11,OPT,1.26,9624.8
100_41_3_11,3Cap + TS,69.28,9624.8
100_41_3_12,3Cap,0.08,9664.78
100_41_3_12,OPT,2.19,9623.54
100_41_3_12,3Cap + TS,54.65,9652.66
100_41_3_13,3Cap,0.12,9640.54
100_41_3_13,OPT,2.3,9636.92
100_41_3_13,3Cap + TS,59.03,9640.54
100_41_3_14,3Cap,0.10,9625.98
100_41_3_14,OPT,1.25,9621.1
100_41_3_14,3Cap + TS,47.18,9625.98
100_41_3_15,3Cap,0.08,9650.22
100_41_3_15,OPT,0.66,9625.98
100_41_3_15,3Cap + TS,86.7,9644.16
100_41_3_16,3Cap,0.08,9644.16
100_41_3_16,OPT,2.91,9629.6
100_41_3_16,3Cap + TS,49.54,9644.16
100_41_3_17,3Cap,0.14,9659.9
100_41_3_17,OPT,1.14,9639.28
100_41_3_17,3Cap + TS,50.9,9659.9
100_41_3_18,3Cap,0.09,9650.22
100_41_3_18,OPT,2.9,9625.98
100_41_3_18,3Cap + TS,131.7,9647.78
100_41_3_19,3Cap,0.07,9640.54
100_41_3_19,OPT,2.82,9634.48
100_41_3_19,3Cap + TS,54.84,9640.54
