instance,solver,time,val
1000_401_3_00,LB,-,832429.92
1000_401_3_00,3Cap,55.90,832517.43
1000_401_3_01,LB,-,832433.46
1000_401_3_01,3Cap,53.81,832520.04
1000_401_3_02,LB,-,832420.16
1000_401_3_02,3Cap,54.53,832510.35
1000_401_3_03,LB,-,832397.02
1000_401_3_03,3Cap,57.32,832448.35
1000_401_3_04,LB,-,832440.78
1000_401_3_04,3Cap,58.90,832501.89
1000_401_3_05,LB,-,832428.65
1000_401_3_05,3Cap,58.30,832527.33
1000_401_3_06,LB,-,832464.93
1000_401_3_06,3Cap,55.23,832517.55
1000_401_3_07,LB,-,832460.14
1000_401_3_07,3Cap,62.84,832549.01
1000_401_3_08,LB,-,832480.76
1000_401_3_08,3Cap,59.96,832520.11
1000_401_3_09,LB,-,832440.79
1000_401_3_09,3Cap,55.61,832505.66
1000_401_3_10,LB,-,832437.16
1000_401_3_10,3Cap,56.05,832528.55
1000_401_3_11,LB,-,832461.39
1000_401_3_11,3Cap,53.41,832527.33
1000_401_3_12,LB,-,832446.76
1000_401_3_12,3Cap,61.56,832539.45
1000_401_3_13,LB,-,832440.88
1000_401_3_13,3Cap,57.10,832507.9
1000_401_3_14,LB,-,832444.39
1000_401_3_14,3Cap,55.31,832486.04
1000_401_3_15,LB,-,832443.14
1000_401_3_15,3Cap,54.54,832530.89
1000_401_3_16,LB,-,832441.97
1000_401_3_16,3Cap,56.63,832495.82
1000_401_3_17,LB,-,832428.58
1000_401_3_17,3Cap,54.73,832481.16
1000_401_3_18,LB,-,832503.9
1000_401_3_18,3Cap,56.11,832606.0
1000_401_3_19,LB,-,832479.57
1000_401_3_19,3Cap,56.70,832557.79
