instance,solver,time,val
500_300_2_00,3Idx,300.79,916.00
500_300_2_00,2Cap,0.38,2436.00
500_300_2_01,2Cap,0.16,2357.00
500_300_2_02,2Cap,0.12,2415.00
500_300_2_03,3Idx,204.42,500.00
500_300_2_03,2Cap,0.48,2287.00
500_300_2_04,2Cap,0.40,2345.00
500_300_2_05,3Idx,147.26,500.00
500_300_2_05,2Cap,0.40,2282.00
500_300_2_06,3Idx,175.65,500.00
500_300_2_06,2Cap,0.17,2445.00
500_300_2_07,2Cap,0.32,2361.00
500_300_2_08,3Idx,227.47,500.00
500_300_2_08,2Cap,0.25,2391.00
500_300_2_09,3Idx,233.97,500.00
500_300_2_09,2Cap,0.17,2380.00
500_300_2_10,2Cap,0.15,2392.00
500_300_2_11,3Idx,142.86,500.00
500_300_2_11,2Cap,0.28,2320.00
500_300_2_12,3Idx,301.14,2010.00
500_300_2_12,2Cap,0.14,2264.00
500_300_2_13,3Idx,319.93,500.00
500_300_2_13,2Cap,0.17,2390.00
500_300_2_14,2Cap,0.36,2363.00
500_300_2_15,3Idx,86.15,500.00
500_300_2_15,2Cap,0.16,2385.00
500_300_2_16,3Idx,82.88,500.00
500_300_2_16,2Cap,0.12,2380.00
500_300_2_17,2Cap,0.08,2379.00
500_300_2_18,3Idx,212.27,500.00
500_300_2_18,2Cap,0.14,2366.00
500_300_2_19,3Idx,132.69,500.00
500_300_2_19,2Cap,0.19,2358.00
