instance,solver,time,val
300_180_2_00,BinP,152.72,300.00
300_180_2_00,3Idx,13.07,300.00
300_180_2_00,2Cap,0.17,1512.00
300_180_2_01,BinP,135.25,300.00
300_180_2_01,3Idx,19.14,300.00
300_180_2_01,2Cap,0.06,1445.00
300_180_2_02,BinP,78.53,300.00
300_180_2_02,3Idx,23.04,300.00
300_180_2_02,2Cap,0.26,1496.00
300_180_2_03,BinP,181.03,1080.00
300_180_2_03,3Idx,32.92,300.00
300_180_2_03,2Cap,0.03,1461.00
300_180_2_04,BinP,103.79,300.00
300_180_2_04,3Idx,21.21,300.00
300_180_2_04,2Cap,0.04,1451.00
300_180_2_05,BinP,180.69,968.00
300_180_2_05,3Idx,47.77,300.00
300_180_2_05,2Cap,0.03,1510.00
300_180_2_06,BinP,86.15,300.00
300_180_2_06,3Idx,17.08,300.00
300_180_2_06,2Cap,0.16,1537.00
300_180_2_07,BinP,120.54,300.00
300_180_2_07,3Idx,24.60,300.00
300_180_2_07,2Cap,0.03,1493.00
300_180_2_08,BinP,167.98,300.00
300_180_2_08,3Idx,46.10,300.00
300_180_2_08,2Cap,0.03,1508.00
300_180_2_09,BinP,122.73,300.00
300_180_2_09,3Idx,27.36,300.00
300_180_2_09,2Cap,0.04,1439.00
300_180_2_10,BinP,73.42,300.00
300_180_2_10,3Idx,12.46,300.00
300_180_2_10,2Cap,0.05,1416.00
300_180_2_11,BinP,115.05,300.00
300_180_2_11,3Idx,19.45,300.00
300_180_2_11,2Cap,0.04,1434.00
300_180_2_12,BinP,111.71,300.00
300_180_2_12,3Idx,15.58,300.00
300_180_2_12,2Cap,0.04,1406.00
300_180_2_13,BinP,83.98,300.00
300_180_2_13,3Idx,13.19,300.00
300_180_2_13,2Cap,0.04,1490.00
300_180_2_14,BinP,80.50,300.00
300_180_2_14,3Idx,14.89,300.00
300_180_2_14,2Cap,0.03,1454.00
300_180_2_15,BinP,180.51,384.00
300_180_2_15,3Idx,46.85,300.00
300_180_2_15,2Cap,0.22,1375.00
300_180_2_16,BinP,115.53,300.00
300_180_2_16,3Idx,76.25,300.00
300_180_2_16,2Cap,0.04,1404.00
300_180_2_17,BinP,180.91,864.00
300_180_2_17,3Idx,28.05,300.00
300_180_2_17,2Cap,0.03,1363.00
300_180_2_18,BinP,114.40,300.00
300_180_2_18,3Idx,32.56,300.00
300_180_2_18,2Cap,0.04,1429.00
300_180_2_19,BinP,98.24,300.00
300_180_2_19,3Idx,18.40,300.00
300_180_2_19,2Cap,0.04,1519.00
