instance,mip,time,val
160_60_4_2,BinP,0.20,0.00
160_60_4_2,3Idx,6.99,0.00
90_34_4_7,BinP,0.05,2.00
90_34_4_7,3Idx,0.84,2.00
150_57_4_6,BinP,0.14,0.00
150_57_4_6,3Idx,6.49,0.00
170_64_4_1,BinP,0.94,0.00
170_64_4_1,3Idx,11.41,0.00
150_57_4_2,BinP,1.07,0.00
150_57_4_2,3Idx,6.31,0.00
50_19_4_5,BinP,0.03,7.00
50_19_4_5,3Idx,0.24,7.00
120_45_4_4,BinP,0.04,4.00
120_45_4_4,3Idx,3.33,4.00
190_72_4_9,BinP,1.17,0.00
190_72_4_9,3Idx,13.11,0.00
90_34_4_2,BinP,0.03,3.00
90_34_4_2,3Idx,0.87,3.00
120_45_4_0,BinP,0.09,1.00
120_45_4_0,3Idx,2.82,1.00
200_75_4_4,BinP,3.46,0.00
200_75_4_4,3Idx,17.93,0.00
90_34_4_8,BinP,0.03,0.00
90_34_4_8,3Idx,0.98,0.00
50_19_4_8,BinP,0.04,7.00
50_19_4_8,3Idx,0.76,7.00
170_64_4_4,BinP,0.41,1.00
170_64_4_4,3Idx,8.63,1.00
180_68_4_3,BinP,0.50,0.00
180_68_4_3,3Idx,9.65,0.00
60_23_4_1,BinP,0.03,5.00
60_23_4_1,3Idx,0.45,5.00
70_27_4_9,BinP,0.07,7.00
70_27_4_9,3Idx,0.36,7.00
150_57_4_7,BinP,0.21,1.00
150_57_4_7,3Idx,7.71,1.00
120_45_4_8,BinP,0.04,1.00
120_45_4_8,3Idx,3.24,1.00
90_34_4_5,BinP,0.04,3.00
90_34_4_5,3Idx,1.34,3.00
110_42_4_4,BinP,0.04,1.00
110_42_4_4,3Idx,1.63,1.00
130_49_4_9,BinP,0.06,1.00
130_49_4_9,3Idx,3.13,1.00
110_42_4_3,BinP,0.04,1.00
110_42_4_3,3Idx,2.25,1.00
180_68_4_7,BinP,0.82,0.00
180_68_4_7,3Idx,12.06,0.00
10_4_4_8,BinP,0.01,20.00
10_4_4_8,3Idx,0.01,20.00
160_60_4_6,BinP,0.18,1.00
160_60_4_6,3Idx,8.27,1.00
190_72_4_2,BinP,1.03,0.00
190_72_4_2,3Idx,13.49,0.00
160_60_4_0,BinP,0.25,0.00
160_60_4_0,3Idx,9.33,0.00
70_27_4_8,BinP,0.05,3.00
70_27_4_8,3Idx,0.58,3.00
140_53_4_5,BinP,0.13,0.00
140_53_4_5,3Idx,4.55,0.00
20_8_4_8,BinP,0.00,21.00
20_8_4_8,3Idx,0.04,21.00
180_68_4_4,BinP,0.68,1.00
180_68_4_4,3Idx,12.68,1.00
100_38_4_9,BinP,0.02,1.00
100_38_4_9,3Idx,1.23,1.00
60_23_4_0,BinP,0.05,7.00
60_23_4_0,3Idx,0.46,7.00
130_49_4_2,BinP,0.12,1.00
130_49_4_2,3Idx,3.79,1.00
80_30_4_3,BinP,0.04,9.00
80_30_4_3,3Idx,0.96,9.00
150_57_4_4,BinP,0.24,0.00
150_57_4_4,3Idx,5.47,0.00
190_72_4_4,BinP,0.57,0.00
190_72_4_4,3Idx,13.94,0.00
70_27_4_5,BinP,0.02,7.00
70_27_4_5,3Idx,0.51,7.00
100_38_4_5,BinP,0.03,0.00
100_38_4_5,3Idx,1.95,0.00
60_23_4_9,BinP,0.04,7.00
60_23_4_9,3Idx,0.51,7.00
140_53_4_6,BinP,0.14,1.00
140_53_4_6,3Idx,3.29,1.00
130_49_4_3,BinP,0.12,0.00
130_49_4_3,3Idx,3.24,0.00
130_49_4_7,BinP,0.08,1.00
130_49_4_7,3Idx,3.50,1.00
190_72_4_5,BinP,0.76,1.00
190_72_4_5,3Idx,12.06,1.00
30_12_4_7,BinP,0.10,39.00
30_12_4_7,3Idx,0.58,39.00
160_60_4_1,BinP,0.26,0.00
160_60_4_1,3Idx,6.66,0.00
170_64_4_9,BinP,0.31,0.00
170_64_4_9,3Idx,10.57,0.00
90_34_4_3,BinP,0.06,2.00
90_34_4_3,3Idx,1.02,2.00
50_19_4_2,BinP,0.06,6.00
50_19_4_2,3Idx,0.38,6.00
150_57_4_8,BinP,0.14,1.00
150_57_4_8,3Idx,6.25,1.00
70_27_4_3,BinP,0.02,3.00
70_27_4_3,3Idx,0.36,3.00
120_45_4_1,BinP,0.10,1.00
120_45_4_1,3Idx,3.34,1.00
80_30_4_9,BinP,0.04,5.00
80_30_4_9,3Idx,0.81,5.00
200_75_4_3,BinP,2.88,0.00
200_75_4_3,3Idx,15.79,0.00
80_30_4_1,BinP,0.05,6.00
80_30_4_1,3Idx,1.57,6.00
20_8_4_9,BinP,0.00,18.00
20_8_4_9,3Idx,0.02,18.00
180_68_4_8,BinP,0.70,0.00
180_68_4_8,3Idx,14.07,0.00
180_68_4_2,BinP,0.76,0.00
180_68_4_2,3Idx,12.68,0.00
50_19_4_7,BinP,0.04,9.00
50_19_4_7,3Idx,0.11,9.00
130_49_4_1,BinP,0.05,0.00
130_49_4_1,3Idx,3.67,0.00
70_27_4_0,BinP,0.03,7.00
70_27_4_0,3Idx,0.61,7.00
200_75_4_0,BinP,5.24,0.00
200_75_4_0,3Idx,13.42,0.00
200_75_4_8,BinP,1.70,0.00
200_75_4_8,3Idx,13.89,0.00
190_72_4_6,BinP,2.28,0.00
190_72_4_6,3Idx,13.93,0.00
70_27_4_1,BinP,0.07,5.00
70_27_4_1,3Idx,0.53,5.00
60_23_4_3,BinP,0.13,8.00
60_23_4_3,3Idx,1.26,8.00
160_60_4_3,BinP,0.39,1.00
160_60_4_3,3Idx,8.23,1.00
80_30_4_6,BinP,0.04,5.00
80_30_4_6,3Idx,1.21,5.00
80_30_4_8,BinP,0.05,7.00
80_30_4_8,3Idx,0.76,7.00
170_64_4_2,BinP,0.32,1.00
170_64_4_2,3Idx,7.87,1.00
200_75_4_2,BinP,1.98,0.00
200_75_4_2,3Idx,16.12,0.00
140_53_4_9,BinP,0.07,0.00
140_53_4_9,3Idx,4.66,0.00
140_53_4_1,BinP,0.06,2.00
140_53_4_1,3Idx,5.20,2.00
30_12_4_9,BinP,0.08,25.00
30_12_4_9,3Idx,0.16,25.00
200_75_4_5,BinP,4.69,0.00
200_75_4_5,3Idx,18.70,0.00
10_4_4_3,BinP,0.00,23.00
10_4_4_3,3Idx,0.01,23.00
40_15_4_5,BinP,0.26,32.00
40_15_4_5,3Idx,7.54,32.00
100_38_4_7,BinP,0.06,1.00
100_38_4_7,3Idx,1.43,1.00
170_64_4_7,BinP,0.40,0.00
170_64_4_7,3Idx,8.11,0.00
180_68_4_5,BinP,0.81,0.00
180_68_4_5,3Idx,11.93,0.00
180_68_4_6,BinP,0.42,0.00
180_68_4_6,3Idx,12.86,0.00
170_64_4_3,BinP,0.09,0.00
170_64_4_3,3Idx,8.69,0.00
