instance,solver,time,val
300_120_3_26,BinP,125.54,0.00
300_120_3_26,3Idx,300.42,228.00
300_120_3_26,3CapPerm,1.13,1368.00
300_120_3_26,3CapRec,0.19,1339.00
300_120_3_1,BinP,305.10,1236.00
300_120_3_78,BinP,300.50,18.00
300_120_3_78,3Idx,300.46,107.00
300_120_3_78,3CapPerm,8.40,1442.00
300_120_3_78,3CapRec,0.10,1381.00
300_120_3_80,BinP,89.49,0.00
300_120_3_80,3Idx,301.56,801.00
300_120_3_80,3CapPerm,0.97,1235.00
300_120_3_80,3CapRec,0.10,1427.00
300_120_3_89,BinP,300.45,197.00
300_120_3_89,3Idx,300.30,586.00
300_120_3_10,BinP,84.50,0.00
300_120_3_10,3Idx,300.29,169.00
300_120_3_43,BinP,75.22,0.00
300_120_3_43,3Idx,301.56,101.00
300_120_3_43,3CapPerm,7.96,1366.00
300_120_3_43,3CapRec,0.11,1420.00
300_120_3_14,BinP,60.15,0.00
300_120_3_14,3Idx,301.41,21.00
300_120_3_14,3CapPerm,0.98,1342.00
300_120_3_14,3CapRec,0.08,1423.00
300_120_3_5,BinP,65.81,0.00
300_120_3_5,3Idx,302.09,155.00
300_120_3_5,3CapPerm,8.44,1258.00
300_120_3_5,3CapRec,0.24,1389.00
300_120_3_24,BinP,83.63,0.00
300_120_3_24,3Idx,300.98,397.00
300_120_3_24,3CapRec,0.10,1356.00
300_120_3_16,BinP,68.70,0.00
300_120_3_16,3Idx,301.76,110.00
300_120_3_16,3CapPerm,0.96,1358.00
300_120_3_16,3CapRec,0.09,1389.00
300_120_3_28,BinP,107.56,0.00
300_120_3_28,3Idx,301.37,579.00
300_120_3_28,3CapRec,0.11,1335.00
300_120_3_35,BinP,300.23,122.00
300_120_3_35,3Idx,300.57,1325.00
300_120_3_92,BinP,300.19,29.00
300_120_3_92,3Idx,300.58,164.00
300_120_3_92,3CapRec,0.14,1347.00
300_120_3_85,BinP,73.02,0.00
300_120_3_85,3Idx,301.20,53.00
300_120_3_85,3CapPerm,8.25,1368.00
300_120_3_85,3CapRec,0.10,1327.00
300_120_3_7,BinP,54.90,0.00
300_120_3_7,3Idx,300.54,14.00
300_120_3_7,3CapPerm,7.95,1372.00
300_120_3_7,3CapRec,0.09,1296.00
300_120_3_6,BinP,38.29,0.00
300_120_3_6,3Idx,300.64,66.00
