instance,solver,time,val
300_120_3_00,TS,68.24,78773.46
300_120_3_01,TS,81.50,78757.8
300_120_3_02,TS,79.75,78791.72
300_120_3_03,TS,67.87,78761.42
300_120_3_04,TS,72.76,78767.4
300_120_3_05,TS,148.59,78788.02
300_120_3_06,TS,58.15,78749.22
300_120_3_07,TS,105.83,78751.66
300_120_3_08,TS,55.47,78788.02
300_120_3_09,TS,54.80,78800.14
300_120_3_10,TS,54.86,78777.08
300_120_3_11,TS,85.78,78766.22
300_120_3_12,TS,75.12,78772.28
300_120_3_13,TS,99.09,78763.78
300_120_3_14,TS,55.72,78779.6
300_120_3_15,TS,110.21,78768.58
300_120_3_16,TS,56.87,78802.58
300_120_3_17,TS,55.34,78775.9
300_120_3_18,TS,54.88,78761.34
300_120_3_19,TS,78.07,78780.78
300_120_3_00,TS,55.93,78785.58
300_120_3_01,TS,54.44,78757.8
300_120_3_02,TS,56.37,78791.72
300_120_3_03,TS,56.72,78761.42
300_120_3_04,TS,104.86,78755.28
300_120_3_05,TS,102.94,78818.32
300_120_3_06,TS,54.72,78749.22
300_120_3_07,TS,56.02,78761.34
300_120_3_08,TS,112.35,78763.78
300_120_3_09,TS,54.52,78800.14
300_120_3_10,TS,54.89,78777.08
300_120_3_11,TS,60.62,78766.22
300_120_3_12,TS,55.55,78784.4
300_120_3_13,TS,56.78,78775.9
300_120_3_14,TS,55.36,78779.6
300_120_3_15,TS,105.22,78766.14
300_120_3_16,TS,91.00,78796.52
300_120_3_17,TS,54.97,78775.9
300_120_3_18,TS,55.38,78761.34
300_120_3_19,TS,104.27,78780.78
300_120_3_00,TS,56.59,78785.58
300_120_3_01,TS,54.69,78757.8
300_120_3_02,TS,56.51,78791.72
300_120_3_03,TS,58.18,78761.42
300_120_3_04,TS,56.47,78755.28
300_120_3_05,TS,83.55,78808.64
300_120_3_06,TS,54.76,78749.22
300_120_3_07,TS,56.19,78761.34
300_120_3_08,TS,55.26,78788.02
300_120_3_09,TS,54.98,78800.14
300_120_3_10,TS,53.96,78777.08
300_120_3_11,TS,73.77,78766.22
300_120_3_12,TS,81.02,78772.28
300_120_3_13,TS,96.23,78763.78
300_120_3_14,TS,55.67,78779.6
300_120_3_15,TS,56.96,78778.26
300_120_3_16,TS,56.31,78802.58
300_120_3_17,TS,55.14,78775.9
300_120_3_18,TS,80.67,78757.72
300_120_3_19,TS,100.58,78790.46
300_120_3_00,TS,119.88,78773.46
300_120_3_01,TS,54.42,78757.8
300_120_3_02,TS,56.22,78791.72
300_120_3_03,TS,57.12,78761.42
300_120_3_04,TS,60.14,78755.28
300_120_3_05,TS,108.05,78802.58
300_120_3_06,TS,55.50,78749.22
300_120_3_07,TS,88.92,78748.04
