instance,solver,time,val
300_180_2_00,LB,-,48733.96
300_180_2_00,BinP,136.60,91569.98
300_180_2_00,3Idx,65.65,48757.02
300_180_2_00,2Cap,0.51,48789.76
300_180_2_01,LB,-,48722.94
300_180_2_01,BinP,127.11,95241.00
300_180_2_01,3Idx,32.35,48735.14
300_180_2_01,2Cap,0.39,48744.82
300_180_2_02,LB,-,48772.76
300_180_2_02,BinP,123.87,89109.46
300_180_2_02,3Idx,26.57,48786.14
300_180_2_02,2Cap,0.42,48809.20
300_180_2_03,LB,-,48761.82
300_180_2_03,BinP,135.72,93082.54
300_180_2_03,3Idx,45.90,48774.02
300_180_2_03,2Cap,0.48,48798.26
300_180_2_04,LB,-,48756.94
300_180_2_04,BinP,120.41,94578.10
300_180_2_04,3Idx,28.17,48781.26
300_180_2_04,2Cap,0.38,48826.12
300_180_2_05,LB,-,48742.46
300_180_2_05,BinP,127.75,91249.90
300_180_2_05,3Idx,34.98,48763.16
300_180_2_05,2Cap,0.40,48799.52
300_180_2_06,LB,-,48757.02
300_180_2_06,BinP,133.18,90451.16
300_180_2_06,3Idx,37.12,48776.46
300_180_2_06,2Cap,0.44,48834.62
300_180_2_07,LB,-,48750.88
300_180_2_07,BinP,120.10,86397.10
300_180_2_07,3Idx,30.13,48766.70
300_180_2_07,2Cap,0.35,48794.56
300_180_2_08,LB,-,48757.02
300_180_2_08,BinP,121.37,52886.56
300_180_2_08,3Idx,23.95,48764.34
300_180_2_08,2Cap,0.42,48782.52
300_180_2_09,LB,-,48742.46
300_180_2_09,BinP,120.76,52124.18
300_180_2_09,3Idx,28.15,48763.16
300_180_2_09,2Cap,0.36,48775.28
300_180_2_10,LB,-,48755.68
300_180_2_10,BinP,125.52,90074.26
300_180_2_10,3Idx,98.54,48773.94
300_180_2_10,2Cap,0.36,48795.74
300_180_2_11,LB,-,48747.34
300_180_2_11,BinP,130.68,91274.14
300_180_2_11,3Idx,26.59,48752.22
300_180_2_11,2Cap,0.39,48788.58
300_180_2_12,LB,-,48767.88
300_180_2_12,BinP,122.94,90510.74
300_180_2_12,3Idx,32.46,48792.20
300_180_2_12,2Cap,0.40,48820.06
300_180_2_13,LB,-,48754.5
300_180_2_13,BinP,133.38,95737.92
300_180_2_13,3Idx,65.24,48778.82
300_180_2_13,2Cap,0.35,48805.50
300_180_2_14,LB,-,48739.94
300_180_2_14,BinP,120.66,95797.34
300_180_2_14,3Idx,41.78,48755.76
300_180_2_14,2Cap,0.50,48804.24
300_180_2_15,LB,-,48759.38
300_180_2_15,BinP,124.34,91659.54
300_180_2_15,3Idx,24.02,48782.52
300_180_2_15,2Cap,0.35,48795.82
300_180_2_16,LB,-,48735.14
300_180_2_16,BinP,125.71,93737.02
300_180_2_16,3Idx,28.29,48754.50
300_180_2_16,2Cap,0.32,48792.12
300_180_2_17,LB,-,48737.58
300_180_2_17,BinP,123.63,87193.40
300_180_2_17,3Idx,29.13,48753.40
300_180_2_17,2Cap,0.42,48821.24
300_180_2_18,LB,-,48749.78
300_180_2_18,BinP,122.48,88719.26
300_180_2_18,3Idx,22.74,48774.10
300_180_2_18,2Cap,0.36,48798.34
300_180_2_19,LB,-,48752.14
300_180_2_19,BinP,138.63,93619.44
300_180_2_19,3Idx,30.29,48763.08
300_180_2_19,2Cap,0.38,48803.06
