instance,solver,time,val
300_180_2_00,BinP,180.96,736.00
300_180_2_00,3Idx,22.67,300.00
300_180_2_01,BinP,180.80,599.00
300_180_2_01,3Idx,43.47,300.00
300_180_2_02,BinP,104.84,300.00
300_180_2_02,3Idx,29.51,300.00
300_180_2_03,BinP,181.45,852.00
300_180_2_03,3Idx,44.73,300.00
300_180_2_04,BinP,150.68,300.00
300_180_2_04,3Idx,31.50,300.00
300_180_2_05,BinP,181.33,818.00
300_180_2_05,3Idx,73.97,300.00
300_180_2_06,BinP,114.61,300.00
300_180_2_06,3Idx,27.42,300.00
300_180_2_07,BinP,174.70,300.00
300_180_2_07,3Idx,39.03,300.00
300_180_2_08,BinP,180.83,673.00
300_180_2_08,3Idx,72.46,300.00
300_180_2_09,BinP,180.77,601.00
300_180_2_09,3Idx,39.95,300.00
300_180_2_10,BinP,82.37,300.00
300_180_2_10,3Idx,18.70,300.00
300_180_2_11,BinP,156.93,300.00
300_180_2_11,3Idx,27.14,300.00
300_180_2_12,BinP,147.73,300.00
300_180_2_12,3Idx,24.14,300.00
300_180_2_13,BinP,131.75,300.00
300_180_2_13,3Idx,20.89,300.00
300_180_2_14,BinP,109.23,300.00
300_180_2_14,3Idx,23.17,300.00
300_180_2_15,BinP,180.80,677.00
300_180_2_15,3Idx,71.69,300.00
300_180_2_16,BinP,165.63,300.00
300_180_2_16,3Idx,73.70,300.00
300_180_2_17,BinP,181.98,770.00
300_180_2_17,3Idx,45.53,300.00
300_180_2_18,BinP,159.28,300.00
300_180_2_18,3Idx,44.70,300.00
300_180_2_19,BinP,131.49,300.00
300_180_2_19,3Idx,22.71,300.00
