instance,solver,time,val
300_180_2_00,BinP,182.77,1048.00
300_180_2_00,3Idx,73.86,300.00
300_180_2_01,BinP,180.58,1413.00
300_180_2_02,BinP,180.30,1381.00
300_180_2_02,3Idx,180.05,881.00
300_180_2_03,BinP,180.48,1287.00
300_180_2_03,3Idx,31.85,300.00
300_180_2_04,BinP,183.27,1366.00
300_180_2_04,3Idx,180.11,337.00
300_180_2_06,BinP,181.77,1267.00
300_180_2_06,3Idx,180.08,324.00
300_180_2_07,BinP,180.32,1440.00
300_180_2_08,BinP,182.80,1430.00
300_180_2_09,BinP,182.28,1455.00
300_180_2_10,BinP,180.30,1483.00
300_180_2_11,BinP,182.90,973.00
300_180_2_12,BinP,180.34,1216.00
300_180_2_13,BinP,181.22,1293.00
300_180_2_14,BinP,181.21,1300.00
300_180_2_15,3Idx,180.07,1281.00
300_180_2_17,BinP,183.21,1276.00
300_180_2_18,BinP,182.14,1521.00
