instance,solver,time,val
100_60_2_00,BinP,0.95,102.00
100_60_2_00,3Idx,0.66,102.00
100_60_2_01,BinP,0.82,100.00
100_60_2_01,3Idx,0.56,100.00
100_60_2_02,BinP,1.41,102.00
100_60_2_02,3Idx,1.04,102.00
100_60_2_03,BinP,3.21,102.00
100_60_2_03,3Idx,0.64,102.00
100_60_2_04,BinP,3.59,100.00
100_60_2_04,3Idx,4.10,100.00
100_60_2_05,BinP,4.85,100.00
100_60_2_05,3Idx,5.07,100.00
100_60_2_06,BinP,1.71,103.00
100_60_2_06,3Idx,0.81,103.00
100_60_2_07,BinP,0.67,101.00
100_60_2_07,3Idx,0.80,101.00
100_60_2_08,BinP,2.21,100.00
100_60_2_08,3Idx,0.97,100.00
100_60_2_09,BinP,1.67,101.00
100_60_2_09,3Idx,0.84,101.00
100_60_2_10,BinP,1.41,102.00
100_60_2_10,3Idx,0.77,102.00
100_60_2_11,BinP,2.17,100.00
100_60_2_11,3Idx,0.85,100.00
100_60_2_12,BinP,7.67,107.00
100_60_2_12,3Idx,2.63,107.00
100_60_2_13,BinP,2.17,100.00
100_60_2_13,3Idx,0.67,100.00
100_60_2_14,BinP,0.78,101.00
100_60_2_14,3Idx,0.70,101.00
100_60_2_15,BinP,2.33,100.00
100_60_2_15,3Idx,0.72,100.00
100_60_2_16,BinP,1.12,100.00
100_60_2_16,3Idx,0.97,100.00
100_60_2_17,BinP,9.64,111.00
100_60_2_17,3Idx,5.15,111.00
100_60_2_18,BinP,1.60,102.00
100_60_2_18,3Idx,0.78,102.00
100_60_2_19,BinP,22.04,105.00
100_60_2_19,3Idx,17.12,105.00
