instance,solver,time,val
500_200_3_00,3Idx,301.26,1909.00
500_200_3_00,3CapRec,0.37,2410.00
500_200_3_01,3Idx,301.00,2065.00
500_200_3_01,3CapRec,0.28,2515.00
500_200_3_02,3Idx,301.02,2018.00
500_200_3_02,3CapRec,0.27,2538.00
500_200_3_03,3Idx,301.04,1926.00
500_200_3_03,3CapRec,0.22,2574.00
500_200_3_04,3Idx,301.10,1905.00
500_200_3_04,3CapRec,0.22,2481.00
500_200_3_05,3Idx,300.92,1981.00
500_200_3_05,3CapRec,0.22,2432.00
500_200_3_06,3Idx,300.60,1887.00
500_200_3_06,3CapRec,0.22,2473.00
500_200_3_07,3Idx,300.54,1882.00
500_200_3_07,3CapRec,0.21,2469.00
500_200_3_08,3Idx,300.44,1838.00
500_200_3_08,3CapRec,0.24,2582.00
500_200_3_09,3Idx,301.41,1935.00
500_200_3_09,3CapRec,0.30,2432.00
500_200_3_10,3Idx,300.91,1937.00
500_200_3_10,3CapRec,0.22,2421.00
500_200_3_11,3Idx,301.18,1905.00
500_200_3_11,3CapRec,0.30,2555.00
500_200_3_12,3Idx,300.96,1861.00
500_200_3_12,3CapRec,0.27,2494.00
500_200_3_13,3Idx,303.18,1906.00
500_200_3_13,3CapRec,0.62,2423.00
500_200_3_14,3Idx,302.28,1832.00
500_200_3_14,3CapRec,0.21,2540.00
500_200_3_15,3Idx,300.83,1940.00
500_200_3_15,3CapRec,0.21,2487.00
500_200_3_16,3Idx,301.02,1871.00
500_200_3_16,3CapRec,0.35,2552.00
500_200_3_17,3Idx,301.48,1991.00
500_200_3_17,3CapRec,0.32,2609.00
500_200_3_18,3Idx,301.51,1815.00
500_200_3_18,3CapRec,0.33,2493.00
500_200_3_19,3Idx,302.63,1834.00
500_200_3_19,3CapRec,0.31,2495.00
