instance,solver,time,val
300_120_3_00,3Idx,125.45,300.00
300_120_3_00,3CapRec,0.11,1472.00
300_120_3_01,BinP,200.04,1395.00
300_120_3_01,3Idx,102.54,300.00
300_120_3_01,3CapRec,0.11,1531.00
300_120_3_02,3Idx,129.98,300.00
300_120_3_02,3CapRec,0.07,1517.00
300_120_3_03,3Idx,110.66,300.00
300_120_3_03,3CapRec,0.15,1522.00
300_120_3_04,3Idx,157.27,300.00
300_120_3_04,3CapRec,0.08,1473.00
300_120_3_05,BinP,180.76,537.00
300_120_3_05,3Idx,106.33,300.00
300_120_3_05,3CapRec,0.06,1530.00
300_120_3_06,BinP,181.03,1473.00
300_120_3_06,3Idx,94.97,300.00
300_120_3_06,3CapRec,0.06,1518.00
300_120_3_07,BinP,195.12,1528.00
300_120_3_07,3Idx,91.70,300.00
300_120_3_07,3CapRec,0.05,1526.00
300_120_3_08,BinP,196.14,1426.00
300_120_3_08,3Idx,87.32,300.00
300_120_3_08,3CapRec,0.05,1531.00
300_120_3_09,3Idx,90.23,300.00
300_120_3_09,3CapRec,0.06,1512.00
300_120_3_10,3Idx,76.84,300.00
300_120_3_10,3CapRec,0.07,1527.00
300_120_3_11,BinP,186.91,1507.00
300_120_3_11,3Idx,89.01,300.00
300_120_3_11,3CapRec,0.05,1501.00
300_120_3_12,3Idx,69.69,300.00
300_120_3_12,3CapRec,0.05,1420.00
300_120_3_13,BinP,184.58,1504.00
300_120_3_13,3Idx,81.03,300.00
300_120_3_13,3CapRec,0.07,1432.00
300_120_3_14,3Idx,80.75,300.00
300_120_3_14,3CapRec,0.05,1538.00
300_120_3_15,3Idx,81.42,300.00
300_120_3_15,3CapRec,0.05,1564.00
300_120_3_16,BinP,178.76,300.00
300_120_3_16,3Idx,82.34,300.00
300_120_3_16,3CapRec,0.07,1445.00
300_120_3_17,BinP,198.89,1486.00
300_120_3_17,3Idx,70.83,300.00
300_120_3_17,3CapRec,0.07,1544.00
300_120_3_18,3Idx,79.18,300.00
300_120_3_18,3CapRec,0.05,1499.00
300_120_3_19,BinP,190.58,1529.00
300_120_3_19,3Idx,79.51,300.00
