instance,solver,time,val
100_40_3_00,BinP,1.25,105.00
100_40_3_00,3Idx,3.81,105.00
100_40_3_00,3CapRec,0.01,532.00
100_40_3_01,BinP,1.20,106.00
100_40_3_01,3Idx,2.94,106.00
100_40_3_01,3CapRec,0.01,466.00
100_40_3_02,BinP,0.97,105.00
100_40_3_02,3Idx,30.01,107.00
100_40_3_02,3CapRec,0.01,503.00
100_40_3_03,BinP,1.34,105.00
100_40_3_03,3Idx,2.58,105.00
100_40_3_03,3CapRec,0.01,476.00
100_40_3_04,BinP,2.29,111.00
100_40_3_04,3Idx,15.97,111.00
100_40_3_04,3CapRec,0.01,512.00
100_40_3_05,BinP,0.95,106.00
100_40_3_05,3Idx,1.98,106.00
100_40_3_05,3CapRec,0.01,535.00
100_40_3_06,BinP,0.60,103.00
100_40_3_06,3Idx,1.79,103.00
100_40_3_06,3CapRec,0.01,503.00
100_40_3_07,BinP,1.05,106.00
100_40_3_07,3Idx,2.27,106.00
100_40_3_07,3CapPerm,0.21,483.00
100_40_3_07,3CapRec,0.00,473.00
100_40_3_08,BinP,1.40,105.00
100_40_3_08,3Idx,30.02,106.00
100_40_3_08,3CapRec,0.00,481.00
100_40_3_09,BinP,1.09,106.00
100_40_3_09,3Idx,7.73,106.00
100_40_3_09,3CapRec,0.00,491.00
100_40_3_10,BinP,1.07,106.00
100_40_3_10,3Idx,30.01,107.00
100_40_3_10,3CapRec,0.01,468.00
100_40_3_11,BinP,1.72,111.00
100_40_3_11,3Idx,30.02,111.00
100_40_3_11,3CapRec,0.01,474.00
100_40_3_12,BinP,1.58,113.00
100_40_3_12,3Idx,30.01,115.00
100_40_3_13,BinP,1.09,107.00
100_40_3_13,3Idx,2.04,107.00
100_40_3_13,3CapRec,0.01,496.00
100_40_3_14,BinP,1.34,110.00
100_40_3_14,3Idx,3.75,110.00
100_40_3_14,3CapRec,0.00,490.00
100_40_3_15,BinP,1.08,113.00
100_40_3_15,3Idx,4.34,113.00
100_40_3_15,3CapRec,0.01,506.00
100_40_3_16,BinP,0.71,104.00
100_40_3_16,3Idx,4.18,104.00
100_40_3_16,3CapRec,0.01,483.00
100_40_3_17,BinP,0.91,108.00
100_40_3_17,3Idx,8.13,108.00
100_40_3_17,3CapRec,0.00,498.00
100_40_3_18,BinP,1.02,110.00
100_40_3_18,3Idx,4.33,110.00
100_40_3_19,BinP,1.37,111.00
100_40_3_19,3Idx,30.01,111.00
100_40_3_19,3CapRec,0.00,478.00
