instance,solver,time,val
300_180_2_00,3Idx,60.08,16266.00
300_180_2_00,2Cap,0.33,16386.00
300_180_2_01,3Idx,48.45,16225.00
300_180_2_01,2Cap,0.17,16286.00
300_180_2_02,2Cap,0.15,16294.00
300_180_2_03,3Idx,60.05,16225.00
300_180_2_03,2Cap,0.16,16394.00
300_180_2_04,3Idx,60.07,16684.00
300_180_2_04,2Cap,0.13,16326.00
300_180_2_05,3Idx,43.57,16226.00
300_180_2_05,2Cap,0.32,16400.00
300_180_2_06,3Idx,41.54,16218.00
300_180_2_06,2Cap,0.13,16398.00
300_180_2_07,3Idx,60.96,16505.00
300_180_2_07,2Cap,0.13,16466.00
300_180_2_08,2Cap,0.13,16444.00
300_180_2_09,2Cap,0.14,16280.00
300_180_2_10,3Idx,51.58,16224.00
300_180_2_10,2Cap,0.13,16332.00
300_180_2_11,3Idx,60.05,16220.00
300_180_2_11,2Cap,0.13,16282.00
300_180_2_12,3Idx,53.70,16224.00
300_180_2_12,2Cap,0.12,16472.00
300_180_2_13,3Idx,60.11,16604.00
300_180_2_13,2Cap,0.13,16306.00
300_180_2_14,3Idx,49.56,16229.00
300_180_2_14,2Cap,0.12,16332.00
300_180_2_15,3Idx,60.06,16631.00
300_180_2_15,2Cap,0.13,16306.00
300_180_2_16,3Idx,56.12,16216.00
300_180_2_16,2Cap,0.13,16296.00
300_180_2_17,3Idx,60.07,16843.00
300_180_2_17,2Cap,0.14,16408.00
300_180_2_18,3Idx,60.05,16226.00
300_180_2_18,2Cap,0.12,16324.00
300_180_2_19,2Cap,0.13,16364.00
