instance,solver,time,val
100_60_2_00,BinP,2.95,2212.00
100_60_2_00,3Idx,1.09,2212.00
100_60_2_00,2Cap,0.10,2236.00
100_60_2_01,BinP,3.16,2638.00
100_60_2_01,3Idx,1.17,2209.00
100_60_2_01,2Cap,0.03,2238.00
100_60_2_02,BinP,3.06,2254.00
100_60_2_02,3Idx,1.09,2204.00
100_60_2_02,2Cap,0.02,2224.00
100_60_2_03,BinP,3.06,2284.00
100_60_2_03,3Idx,1.01,2211.00
100_60_2_03,2Cap,0.02,2262.00
100_60_2_04,BinP,3.07,2339.00
100_60_2_04,3Idx,1.07,2213.00
100_60_2_04,2Cap,0.01,2248.00
100_60_2_05,BinP,3.07,2262.00
100_60_2_05,3Idx,1.72,2215.00
100_60_2_05,2Cap,0.01,2256.00
100_60_2_06,3Idx,0.88,2208.00
100_60_2_06,2Cap,0.01,2304.00
100_60_2_07,BinP,2.33,2215.00
100_60_2_07,3Idx,1.11,2215.00
100_60_2_07,2Cap,0.01,2264.00
100_60_2_08,BinP,3.18,2483.00
100_60_2_08,3Idx,1.11,2210.00
100_60_2_08,2Cap,0.01,2234.00
100_60_2_09,BinP,3.07,2311.00
100_60_2_09,3Idx,1.02,2210.00
100_60_2_09,2Cap,0.12,2254.00
100_60_2_10,BinP,3.08,2261.00
100_60_2_10,3Idx,1.12,2206.00
100_60_2_10,2Cap,0.01,2274.00
100_60_2_11,BinP,3.02,2308.00
100_60_2_11,3Idx,1.14,2205.00
100_60_2_11,2Cap,0.01,2262.00
100_60_2_12,BinP,3.08,2302.00
100_60_2_12,3Idx,1.11,2210.00
100_60_2_12,2Cap,0.01,2242.00
100_60_2_13,BinP,3.08,2293.00
100_60_2_13,3Idx,0.96,2209.00
100_60_2_13,2Cap,0.01,2274.00
100_60_2_14,BinP,3.07,2296.00
100_60_2_14,3Idx,1.17,2219.00
100_60_2_14,2Cap,0.01,2250.00
100_60_2_15,BinP,3.06,2304.00
100_60_2_15,3Idx,1.27,2210.00
100_60_2_15,2Cap,0.01,2224.00
100_60_2_16,BinP,3.05,2327.00
100_60_2_16,3Idx,0.98,2204.00
100_60_2_16,2Cap,0.01,2238.00
100_60_2_17,BinP,3.06,2309.00
100_60_2_17,3Idx,0.64,2206.00
100_60_2_17,2Cap,0.01,2328.00
100_60_2_18,BinP,3.07,2273.00
100_60_2_18,3Idx,0.62,2213.00
100_60_2_18,2Cap,0.01,2230.00
100_60_2_19,BinP,3.06,2281.00
100_60_2_19,3Idx,1.00,2211.00
100_60_2_19,2Cap,0.01,2250.00
