instance,solver,time,val
500_200_3_00,3Cap,1.15,71017.00
500_200_3_01,3Cap,0.93,70995.00
500_200_3_02,3Cap,0.89,70839.00
500_200_3_03,3Cap,0.80,71079.00
500_200_3_04,3Cap,0.82,70961.00
500_200_3_05,3Cap,0.79,70847.00
500_200_3_06,3Cap,0.83,71064.00
500_200_3_07,3Cap,0.81,71061.00
500_200_3_08,3Cap,0.84,71027.00
500_200_3_09,3Cap,0.79,70849.00
500_200_3_10,3Cap,0.92,70909.00
500_200_3_11,3Cap,0.82,70906.00
500_200_3_12,3Cap,0.74,70858.00
500_200_3_13,3Cap,0.76,70833.00
500_200_3_14,3Cap,0.74,70951.00
500_200_3_15,3Cap,0.79,71049.00
500_200_3_16,3Cap,0.79,70979.00
500_200_3_17,3Cap,0.80,70913.00
500_200_3_18,3Cap,0.77,70953.00
500_200_3_19,3Cap,1.29,71004.00
