instance,solver,time,val
300_120_3_00,BinP,608.48,26523.00
300_120_3_00,3CapRec,0.26,35150.00
300_120_3_00,3Cap,0.43,26347.00
300_120_3_01,3CapRec,0.07,34839.00
300_120_3_01,3Cap,0.24,26427.00
300_120_3_02,3CapRec,0.10,35157.00
300_120_3_02,3Cap,0.19,26376.00
300_120_3_03,3CapRec,0.08,34543.00
300_120_3_03,3Cap,0.25,26353.00
300_120_3_04,3CapRec,0.15,35710.00
300_120_3_04,3Cap,0.27,26384.00
300_120_3_05,3CapRec,0.10,35982.00
300_120_3_05,3Cap,0.21,26467.00
300_120_3_06,3Idx,600.27,26108.00
300_120_3_06,3CapRec,0.10,35014.00
300_120_3_06,3Cap,0.20,26351.00
300_120_3_07,3Idx,600.28,26117.00
300_120_3_07,3CapRec,0.08,35359.00
300_120_3_07,3Cap,0.26,26335.00
300_120_3_08,3CapRec,0.06,35331.00
300_120_3_08,3Cap,0.17,26368.00
300_120_3_09,BinP,600.30,26117.00
300_120_3_09,3CapRec,0.08,34434.00
300_120_3_09,3Cap,0.17,26360.00
300_120_3_10,BinP,600.33,26115.00
300_120_3_10,3Idx,600.15,26115.00
300_120_3_10,3CapRec,0.07,35614.00
300_120_3_10,3Cap,0.17,26423.00
300_120_3_11,BinP,540.86,26114.00
300_120_3_11,3CapRec,0.06,35129.00
300_120_3_11,3Cap,0.18,26342.00
300_120_3_12,BinP,488.90,26111.00
300_120_3_12,3CapRec,0.07,35082.00
300_120_3_12,3Cap,0.18,26402.00
300_120_3_13,BinP,600.29,26111.00
300_120_3_13,3CapRec,0.06,34338.00
300_120_3_13,3Cap,0.17,26379.00
300_120_3_14,BinP,600.32,26112.00
300_120_3_14,3Idx,600.10,26133.00
300_120_3_14,3CapRec,0.07,35779.00
300_120_3_14,3Cap,0.17,26361.00
300_120_3_15,BinP,600.28,26115.00
300_120_3_15,3Idx,444.07,26115.00
300_120_3_15,3CapRec,0.08,35365.00
300_120_3_15,3Cap,0.17,26470.00
300_120_3_16,BinP,600.83,26390.00
300_120_3_16,3CapRec,0.06,34950.00
300_120_3_16,3Cap,0.17,26396.00
300_120_3_17,BinP,600.28,26120.00
300_120_3_17,3CapRec,0.06,35551.00
300_120_3_17,3Cap,0.18,26336.00
300_120_3_18,BinP,574.84,26120.00
300_120_3_18,3CapRec,0.06,35219.00
300_120_3_18,3Cap,0.17,26329.00
300_120_3_19,BinP,589.07,26111.00
300_120_3_19,3Idx,481.22,26111.00
300_120_3_19,3CapRec,0.06,35775.00
300_120_3_19,3Cap,0.18,26364.00
