instance,solver,time,val
300_120_3_00,3CapRec,0.15,34938.00
300_120_3_00,3Cap,0.29,26693.00
300_120_3_01,3CapRec,0.06,34637.00
300_120_3_01,3Cap,0.16,26795.00
300_120_3_02,3CapRec,0.08,34651.00
300_120_3_02,3Cap,0.16,26636.00
300_120_3_03,3CapRec,0.06,35110.00
300_120_3_03,3Cap,0.16,26642.00
300_120_3_04,3CapRec,0.06,35120.00
300_120_3_04,3Cap,0.15,26575.00
300_120_3_05,3CapRec,0.06,34511.00
300_120_3_05,3Cap,0.15,26426.00
300_120_3_06,3CapRec,0.08,36018.00
300_120_3_06,3Cap,0.16,26817.00
300_120_3_07,3CapRec,0.06,34858.00
300_120_3_07,3Cap,0.15,26678.00
300_120_3_08,3CapRec,0.09,35111.00
300_120_3_08,3Cap,0.17,26631.00
300_120_3_09,3CapRec,0.08,35215.00
300_120_3_09,3Cap,0.15,26904.00
300_120_3_10,3CapRec,0.06,34897.00
300_120_3_10,3Cap,0.15,26530.00
300_120_3_11,3CapRec,0.07,34742.00
300_120_3_11,3Cap,0.14,26849.00
300_120_3_12,3CapRec,0.06,34873.00
300_120_3_12,3Cap,0.16,26811.00
300_120_3_13,3CapRec,0.08,35886.00
300_120_3_13,3Cap,0.16,26428.00
300_120_3_14,3CapRec,0.06,34725.00
300_120_3_14,3Cap,0.15,26760.00
300_120_3_15,3CapRec,0.07,35478.00
300_120_3_15,3Cap,0.14,26588.00
300_120_3_16,3CapRec,0.07,34554.00
300_120_3_16,3Cap,0.16,26874.00
300_120_3_17,3CapRec,0.08,35917.00
300_120_3_17,3Cap,0.16,26429.00
300_120_3_18,3CapRec,0.06,34958.00
300_120_3_18,3Cap,0.16,26858.00
300_120_3_19,3CapRec,0.06,34976.00
300_120_3_19,3Cap,0.15,26630.00
