instance,solver,time,val
100_40_3_00,BinP,3.26,3303.00
100_40_3_00,3Idx,4.02,3303.00
100_40_3_00,3CapPerm,0.41,4172.00
100_40_3_00,3Cap,0.06,3388.00
100_40_3_01,BinP,3.47,3306.00
100_40_3_01,3Idx,5.21,3306.00
100_40_3_01,3CapRec,0.02,4240.00
100_40_3_01,3Cap,0.01,3392.00
100_40_3_02,BinP,2.63,3301.00
100_40_3_02,3Idx,3.00,3301.00
100_40_3_02,3CapRec,0.01,4254.00
100_40_3_02,3Cap,0.01,3345.00
100_40_3_03,BinP,3.64,3306.00
100_40_3_03,3Idx,30.49,3306.00
100_40_3_03,3CapRec,0.00,4313.00
100_40_3_03,3Cap,0.01,3467.00
100_40_3_04,BinP,3.26,3300.00
100_40_3_04,3Idx,3.58,3300.00
100_40_3_04,3CapRec,0.01,4137.00
100_40_3_04,3Cap,0.01,3390.00
100_40_3_05,BinP,3.23,3305.00
100_40_3_05,3Idx,5.20,3305.00
100_40_3_05,3Cap,0.01,3380.00
100_40_3_06,BinP,3.68,3303.00
100_40_3_06,3Idx,3.33,3303.00
100_40_3_06,3CapRec,0.00,4226.00
100_40_3_06,3Cap,0.01,3424.00
100_40_3_07,BinP,3.03,3303.00
100_40_3_07,3Idx,3.35,3303.00
100_40_3_07,3CapPerm,0.22,4108.00
100_40_3_07,3CapRec,0.01,4254.00
100_40_3_07,3Cap,0.01,3336.00
100_40_3_08,BinP,3.65,3311.00
100_40_3_08,3Idx,3.80,3311.00
100_40_3_08,3CapRec,0.02,4367.00
100_40_3_08,3Cap,0.01,3427.00
100_40_3_09,BinP,2.47,3304.00
100_40_3_09,3Idx,25.68,3304.00
100_40_3_09,3CapRec,0.01,4225.00
100_40_3_09,3Cap,0.01,3357.00
100_40_3_10,BinP,3.07,3306.00
100_40_3_10,3Idx,8.73,3306.00
100_40_3_10,3CapRec,0.01,4383.00
100_40_3_10,3Cap,0.01,3422.00
100_40_3_11,BinP,2.68,3301.00
100_40_3_11,3Idx,15.63,3301.00
100_40_3_11,3CapRec,0.00,4289.00
100_40_3_11,3Cap,0.01,3365.00
100_40_3_12,BinP,2.68,3303.00
100_40_3_12,3Idx,2.67,3303.00
100_40_3_12,3CapRec,0.00,4280.00
100_40_3_12,3Cap,0.01,3382.00
100_40_3_13,BinP,2.85,3302.00
100_40_3_13,3Idx,8.68,3302.00
100_40_3_13,3CapRec,0.00,4257.00
100_40_3_13,3Cap,0.01,3385.00
100_40_3_14,BinP,3.22,3305.00
100_40_3_14,3Idx,5.63,3305.00
100_40_3_14,3CapRec,0.01,4233.00
100_40_3_14,3Cap,0.01,3394.00
100_40_3_15,BinP,2.99,3304.00
100_40_3_15,3Idx,4.59,3304.00
100_40_3_15,3Cap,0.01,3406.00
100_40_3_16,BinP,2.37,3302.00
100_40_3_16,3Idx,4.20,3302.00
100_40_3_16,3CapPerm,25.46,3830.00
100_40_3_16,3CapRec,0.01,4211.00
100_40_3_16,3Cap,0.01,3375.00
100_40_3_17,BinP,2.91,3305.00
100_40_3_17,3Idx,5.77,3305.00
100_40_3_17,3CapRec,0.01,4422.00
100_40_3_17,3Cap,0.01,3373.00
100_40_3_18,BinP,2.96,3305.00
100_40_3_18,3Idx,3.38,3305.00
100_40_3_18,3CapRec,0.00,4394.00
100_40_3_18,3Cap,0.01,3425.00
100_40_3_19,BinP,4.24,3310.00
100_40_3_19,3Idx,5.37,3310.00
100_40_3_19,3CapRec,0.00,4248.00
100_40_3_19,3Cap,0.01,3403.00
