instance,solver,time,val
100_40_3_00,BinP,3.12,3304.00
100_40_3_00,3Idx,4.61,3304.00
100_40_3_00,3CapRec,0.03,4151.00
100_40_3_00,3Cap,0.05,3397.00
100_40_3_01,BinP,3.02,3302.00
100_40_3_01,3Idx,4.94,3302.00
100_40_3_01,3CapRec,0.01,4244.00
100_40_3_01,3Cap,0.02,3366.00
100_40_3_02,BinP,3.15,3302.00
100_40_3_02,3Idx,4.17,3302.00
100_40_3_02,3CapRec,0.01,4317.00
100_40_3_02,3Cap,0.01,3383.00
100_40_3_03,BinP,2.45,3307.00
100_40_3_03,3Idx,7.00,3307.00
100_40_3_03,3CapRec,0.01,4380.00
100_40_3_03,3Cap,0.01,3362.00
100_40_3_04,BinP,2.66,3307.00
100_40_3_04,3CapRec,0.01,4353.00
100_40_3_04,3Cap,0.01,3439.00
100_40_3_05,BinP,3.42,3306.00
100_40_3_05,3CapPerm,0.21,4159.00
100_40_3_05,3CapRec,0.02,4253.00
100_40_3_05,3Cap,0.01,3438.00
100_40_3_06,BinP,3.35,3309.00
100_40_3_06,3Idx,10.01,3321.00
100_40_3_06,3CapRec,0.00,4249.00
100_40_3_06,3Cap,0.01,3400.00
100_40_3_07,BinP,3.98,3303.00
100_40_3_07,3Idx,4.96,3303.00
100_40_3_07,3CapRec,0.01,4138.00
100_40_3_07,3Cap,0.01,3404.00
100_40_3_08,BinP,3.08,3304.00
100_40_3_08,3Idx,4.03,3304.00
100_40_3_08,3CapRec,0.00,4399.00
100_40_3_08,3Cap,0.01,3389.00
100_40_3_09,BinP,3.25,3305.00
100_40_3_09,3Idx,2.65,3305.00
100_40_3_09,3Cap,0.01,3379.00
100_40_3_10,BinP,3.36,3310.00
100_40_3_10,3Idx,10.02,3341.00
100_40_3_10,3CapRec,0.00,4189.00
100_40_3_10,3Cap,0.01,3452.00
100_40_3_11,BinP,4.79,3309.00
100_40_3_11,3Idx,3.53,3309.00
100_40_3_11,3CapRec,0.01,4264.00
100_40_3_11,3Cap,0.01,3419.00
100_40_3_12,BinP,3.24,3304.00
100_40_3_12,3Idx,8.36,3304.00
100_40_3_12,3CapRec,0.00,4219.00
100_40_3_12,3Cap,0.01,3408.00
100_40_3_13,BinP,3.43,3308.00
100_40_3_13,3Idx,10.02,3333.00
100_40_3_13,3Cap,0.01,3414.00
100_40_3_14,BinP,3.72,3304.00
100_40_3_14,3Idx,10.01,3322.00
100_40_3_14,3CapRec,0.01,4300.00
100_40_3_14,3Cap,0.01,3414.00
100_40_3_15,BinP,3.95,3302.00
100_40_3_15,3Idx,10.02,3306.00
100_40_3_15,3CapRec,0.01,4287.00
100_40_3_15,3Cap,0.01,3427.00
100_40_3_16,BinP,1.75,3301.00
100_40_3_16,3Idx,5.98,3301.00
100_40_3_16,3CapRec,0.01,4208.00
100_40_3_16,3Cap,0.01,3397.00
100_40_3_17,BinP,3.51,3305.00
100_40_3_17,3Idx,4.60,3305.00
100_40_3_17,3CapRec,0.02,4106.00
100_40_3_17,3Cap,0.01,3386.00
100_40_3_18,BinP,2.92,3304.00
100_40_3_18,3Idx,6.00,3304.00
100_40_3_18,3CapRec,0.00,4506.00
100_40_3_18,3Cap,0.01,3363.00
100_40_3_19,BinP,3.89,3311.00
100_40_3_19,3Idx,10.01,3349.00
100_40_3_19,3CapRec,0.01,4292.00
100_40_3_19,3Cap,0.01,3401.00
