instance,solver,time,val
100_40_3_00,3CapPerm,0.38,4172.00
100_40_3_00,3CapRec,0.02,4383.00
100_40_3_00,3Cap,0.05,3388.00
100_40_3_01,3CapRec,0.02,4244.00
100_40_3_01,3Cap,0.02,3392.00
100_40_3_02,BinP,1.02,3431.00
100_40_3_02,3CapRec,0.01,4256.00
100_40_3_02,3Cap,0.01,3345.00
100_40_3_03,3CapRec,0.01,4313.00
100_40_3_03,3Cap,0.02,3467.00
100_40_3_04,3CapRec,0.01,4123.00
100_40_3_04,3Cap,0.01,3390.00
100_40_3_05,3Cap,0.01,3380.00
100_40_3_06,3CapRec,0.00,4226.00
100_40_3_06,3Cap,0.01,3424.00
100_40_3_07,3CapPerm,0.21,4108.00
100_40_3_07,3CapRec,0.01,4242.00
100_40_3_07,3Cap,0.01,3336.00
100_40_3_08,3CapRec,0.02,4351.00
100_40_3_08,3Cap,0.01,3427.00
100_40_3_09,3CapRec,0.01,4225.00
100_40_3_09,3Cap,0.02,3357.00
100_40_3_10,3CapRec,0.01,4411.00
100_40_3_10,3Cap,0.01,3422.00
100_40_3_11,BinP,1.02,3412.00
100_40_3_11,3CapRec,0.00,4289.00
100_40_3_11,3Cap,0.01,3365.00
100_40_3_12,3CapRec,0.01,4280.00
100_40_3_12,3Cap,0.01,3382.00
100_40_3_13,3CapRec,0.00,4257.00
100_40_3_13,3Cap,0.01,3385.00
100_40_3_14,3CapRec,0.01,4229.00
100_40_3_14,3Cap,0.01,3394.00
100_40_3_15,3Cap,0.01,3406.00
100_40_3_16,BinP,1.03,3385.00
100_40_3_16,3CapRec,0.00,4211.00
100_40_3_16,3Cap,0.01,3375.00
100_40_3_17,3CapRec,0.00,4422.00
100_40_3_17,3Cap,0.01,3373.00
100_40_3_18,3CapRec,0.00,4366.00
100_40_3_18,3Cap,0.01,3425.00
100_40_3_19,3CapRec,0.00,4248.00
100_40_3_19,3Cap,0.01,3403.00
