instance,solver,time,val
100_60_2_00,BinP,0.95,102.00
100_60_2_00,3Idx,0.72,102.00
100_60_2_00,2Cap,0.08,502.00
100_60_2_01,BinP,0.80,100.00
100_60_2_01,3Idx,0.56,100.00
100_60_2_01,2Cap,0.03,495.00
100_60_2_02,BinP,1.36,102.00
100_60_2_02,3Idx,0.97,102.00
100_60_2_02,2Cap,0.02,426.00
100_60_2_03,BinP,3.09,102.00
100_60_2_03,3Idx,0.62,102.00
100_60_2_03,2Cap,0.01,478.00
100_60_2_04,BinP,3.59,100.00
100_60_2_04,3Idx,4.17,100.00
100_60_2_04,2Cap,0.01,437.00
100_60_2_05,BinP,4.71,100.00
100_60_2_05,3Idx,4.76,100.00
100_60_2_05,2Cap,0.01,465.00
100_60_2_06,BinP,1.64,103.00
100_60_2_06,3Idx,0.82,103.00
100_60_2_06,2Cap,0.01,500.00
100_60_2_07,BinP,0.66,101.00
100_60_2_07,3Idx,0.63,101.00
100_60_2_07,2Cap,0.01,539.00
100_60_2_08,BinP,2.02,100.00
100_60_2_08,3Idx,0.99,100.00
100_60_2_08,2Cap,0.01,476.00
100_60_2_09,BinP,1.65,101.00
100_60_2_09,3Idx,0.73,101.00
100_60_2_09,2Cap,0.01,484.00
100_60_2_10,BinP,1.58,102.00
100_60_2_10,3Idx,0.74,102.00
100_60_2_10,2Cap,0.01,449.00
100_60_2_11,BinP,2.07,100.00
100_60_2_11,3Idx,0.78,100.00
100_60_2_11,2Cap,0.01,511.00
100_60_2_12,BinP,7.55,107.00
100_60_2_12,3Idx,2.59,107.00
100_60_2_12,2Cap,0.01,481.00
100_60_2_13,BinP,2.17,100.00
100_60_2_13,3Idx,0.66,100.00
100_60_2_13,2Cap,0.01,447.00
100_60_2_14,BinP,0.76,101.00
100_60_2_14,3Idx,0.67,101.00
100_60_2_14,2Cap,0.01,424.00
100_60_2_15,BinP,2.15,100.00
100_60_2_15,3Idx,0.73,100.00
100_60_2_15,2Cap,0.00,444.00
100_60_2_16,BinP,1.10,100.00
100_60_2_16,3Idx,0.93,100.00
100_60_2_16,2Cap,0.01,447.00
100_60_2_17,BinP,8.89,111.00
100_60_2_17,3Idx,5.31,111.00
100_60_2_17,2Cap,0.00,504.00
100_60_2_18,BinP,1.58,102.00
100_60_2_18,3Idx,0.76,102.00
100_60_2_18,2Cap,0.00,447.00
100_60_2_19,BinP,19.22,105.00
100_60_2_19,3Idx,13.12,105.00
100_60_2_19,2Cap,0.00,465.00
