instance,solver,time,val
500_300_2_00,2Cap,0.96,2376.00
500_300_2_01,2Cap,0.41,2317.00
500_300_2_02,2Cap,0.65,2397.00
500_300_2_03,2Cap,0.31,2485.00
500_300_2_04,2Cap,0.33,2472.00
500_300_2_05,2Cap,0.30,2434.00
500_300_2_06,2Cap,0.29,2445.00
500_300_2_07,2Cap,0.33,2356.00
500_300_2_08,2Cap,0.29,2405.00
500_300_2_09,2Cap,0.28,2453.00
500_300_2_10,2Cap,0.26,2414.00
500_300_2_11,2Cap,0.33,2447.00
500_300_2_12,2Cap,0.26,2439.00
500_300_2_13,2Cap,0.33,2479.00
500_300_2_14,2Cap,0.54,2493.00
500_300_2_15,2Cap,0.21,2402.00
500_300_2_16,2Cap,0.31,2451.00
500_300_2_17,2Cap,0.30,2488.00
500_300_2_18,2Cap,0.32,2463.00
500_300_2_19,2Cap,0.36,2415.00
500_300_2_20,2Cap,0.36,2425.00
500_300_2_21,2Cap,0.24,2458.00
500_300_2_22,2Cap,0.29,2313.00
500_300_2_23,2Cap,0.28,2382.00
500_300_2_24,2Cap,0.29,2335.00
500_300_2_25,2Cap,0.34,2389.00
500_300_2_26,2Cap,0.27,2387.00
500_300_2_27,2Cap,0.32,2403.00
500_300_2_28,2Cap,0.36,2462.00
500_300_2_29,2Cap,0.26,2475.00
500_300_2_30,2Cap,0.26,2394.00
500_300_2_31,2Cap,0.28,2393.00
500_300_2_32,2Cap,0.24,2394.00
500_300_2_33,2Cap,0.30,2427.00
500_300_2_34,2Cap,0.26,2429.00
500_300_2_35,2Cap,0.32,2450.00
500_300_2_36,2Cap,0.27,2517.00
500_300_2_37,2Cap,0.27,2497.00
500_300_2_38,2Cap,0.38,2356.00
500_300_2_39,2Cap,0.33,2437.00
500_300_2_40,2Cap,0.35,2479.00
500_300_2_41,2Cap,0.29,2329.00
500_300_2_42,2Cap,0.37,2360.00
500_300_2_43,2Cap,0.36,2425.00
500_300_2_44,2Cap,0.76,2328.00
500_300_2_45,2Cap,0.32,2449.00
500_300_2_46,2Cap,0.22,2433.00
500_300_2_47,2Cap,0.28,2472.00
500_300_2_48,2Cap,0.32,2467.00
500_300_2_49,2Cap,0.39,2400.00
