instance,solver,time,val
500_200_3_0,BinP,319,2533
500_200_3_0,3Idx,305,2353
500_200_3_0,3CapPerm,12,2469
500_200_3_0,3CapRec,0,2631
500_200_3_34,BinP,312,2523
500_200_3_34,3Idx,306,2453
500_200_3_34,3CapPerm,17,2578
500_200_3_17,BinP,307,2484
500_200_3_17,3Idx,305,2338
500_200_3_17,3CapPerm,14,2501
500_200_3_17,3CapRec,0,2602
500_200_3_11,BinP,248,500
500_200_3_11,3Idx,310,2351
500_200_3_11,3CapPerm,24,2409
500_200_3_11,3CapRec,1,2505
500_200_3_40,BinP,283,500
500_200_3_40,3Idx,306,2459
500_200_3_40,3CapPerm,11,2489
500_200_3_40,3CapRec,0,2491
500_200_3_7,BinP,311,2455
500_200_3_7,3Idx,304,2295
500_200_3_7,3CapPerm,16,2491
500_200_3_41,BinP,308,2434
500_200_3_41,3Idx,306,2441
500_200_3_41,3CapPerm,14,2453
500_200_3_41,3CapRec,0,2489
500_200_3_31,BinP,238,500
500_200_3_31,3CapPerm,13,2437
500_200_3_31,3CapRec,1,2551
500_200_3_3,BinP,300,2511
500_200_3_3,3Idx,302,2349
500_200_3_3,3CapPerm,13,2437
500_200_3_3,3CapRec,0,2426
500_200_3_21,BinP,351,2477
500_200_3_21,3Idx,301,2407
500_200_3_21,3CapPerm,12,2480
500_200_3_46,BinP,280,500
500_200_3_46,3Idx,306,2351
500_200_3_46,3CapPerm,17,2564
500_200_3_35,BinP,293,500
500_200_3_35,3Idx,306,2468
500_200_3_35,3CapPerm,11,2405
500_200_3_35,3CapRec,0,2465
500_200_3_6,BinP,241,500
500_200_3_6,3Idx,308,2331
500_200_3_6,3CapPerm,1,2461
500_200_3_6,3CapRec,0,2407
500_200_3_26,BinP,300,2532
500_200_3_26,3Idx,306,2321
500_200_3_26,3CapPerm,15,2501
500_200_3_26,3CapRec,0,2499
500_200_3_5,BinP,301,2391
500_200_3_5,3CapPerm,15,2548
500_200_3_5,3CapRec,0,2440
500_200_3_8,BinP,284,500
500_200_3_8,3Idx,306,2436
500_200_3_8,3CapPerm,16,2459
500_200_3_8,3CapRec,0,2466
500_200_3_30,BinP,261,500
500_200_3_30,3Idx,307,2462
500_200_3_30,3CapPerm,11,2546
500_200_3_30,3CapRec,0,2498
500_200_3_36,BinP,329,2461
500_200_3_36,3Idx,303,2317
500_200_3_36,3CapPerm,11,2558
500_200_3_36,3CapRec,0,2548
500_200_3_20,BinP,313,2538
500_200_3_20,3Idx,305,2399
500_200_3_20,3CapPerm,12,2549
500_200_3_20,3CapRec,0,2456
500_200_3_1,BinP,300,2555
500_200_3_1,3Idx,305,2359
500_200_3_1,3CapPerm,14,2475
500_200_3_1,3CapRec,0,2492
500_200_3_12,BinP,311,2504
