instance,solver,time,val
500_200_3_00,3Cap,1.15,71017.00
500_200_3_01,3Cap,1.17,70995.00
500_200_3_02,3Cap,0.91,70839.00
500_200_3_03,3Cap,1.13,71079.00
500_200_3_04,3Cap,1.19,70961.00
500_200_3_05,3Cap,0.84,70847.00
500_200_3_06,3Cap,0.89,71064.00
500_200_3_07,3Cap,1.20,71061.00
500_200_3_08,3Cap,1.13,71027.00
500_200_3_09,3Cap,1.15,70849.00
500_200_3_10,3Cap,0.90,70909.00
500_200_3_11,3Cap,0.90,70906.00
500_200_3_12,3Cap,0.91,70858.00
500_200_3_13,3Cap,0.86,70833.00
500_200_3_14,3Cap,0.84,70951.00
500_200_3_15,3Cap,0.89,71049.00
500_200_3_16,3Cap,0.89,70979.00
500_200_3_17,3Cap,0.86,70913.00
500_200_3_18,3Cap,0.86,70953.00
500_200_3_19,3Cap,0.87,71004.00
