instance,solver,time,val
600_360_2_00,2Cap,2.08,2913.00
600_360_2_01,2Cap,1.38,2980.00
600_360_2_02,2Cap,1.13,2833.00
600_360_2_03,2Cap,1.02,2885.00
600_360_2_04,2Cap,1.09,2935.00
600_360_2_05,2Cap,0.96,2912.00
600_360_2_06,2Cap,0.93,3023.00
600_360_2_07,2Cap,0.88,2842.00
600_360_2_08,2Cap,0.87,2974.00
600_360_2_09,2Cap,1.03,2840.00
600_360_2_10,2Cap,0.42,2970.00
600_360_2_11,2Cap,0.46,2887.00
600_360_2_12,2Cap,0.51,2901.00
600_360_2_13,2Cap,0.49,2942.00
600_360_2_14,2Cap,0.58,2975.00
600_360_2_15,2Cap,0.46,2913.00
600_360_2_16,2Cap,0.43,3069.00
600_360_2_17,2Cap,0.48,3019.00
600_360_2_18,2Cap,0.53,2852.00
600_360_2_19,2Cap,0.47,2971.00
600_360_2_20,2Cap,0.41,3009.00
600_360_2_21,2Cap,0.52,2929.00
600_360_2_22,2Cap,0.50,2834.00
600_360_2_23,2Cap,0.37,2892.00
600_360_2_24,2Cap,0.50,2890.00
600_360_2_25,2Cap,0.51,3038.00
600_360_2_26,2Cap,0.51,2826.00
600_360_2_27,2Cap,0.62,2954.00
600_360_2_28,2Cap,0.46,2986.00
600_360_2_29,2Cap,0.77,2930.00
600_360_2_30,2Cap,0.46,2900.00
600_360_2_31,2Cap,0.53,2947.00
600_360_2_32,2Cap,0.50,3039.00
600_360_2_33,2Cap,0.44,2889.00
600_360_2_34,2Cap,0.46,3091.00
600_360_2_35,2Cap,0.50,2942.00
600_360_2_36,2Cap,0.45,2938.00
600_360_2_37,2Cap,0.51,2936.00
600_360_2_38,2Cap,0.52,2858.00
600_360_2_39,2Cap,0.52,2938.00
600_360_2_40,2Cap,0.47,3008.00
600_360_2_41,2Cap,0.84,2891.00
600_360_2_42,2Cap,0.45,2934.00
600_360_2_43,2Cap,0.44,2956.00
600_360_2_44,2Cap,0.48,2895.00
600_360_2_45,2Cap,0.44,2987.00
600_360_2_46,2Cap,0.44,3003.00
600_360_2_47,2Cap,0.68,2911.00
600_360_2_48,2Cap,0.44,2919.00
600_360_2_49,2Cap,0.45,2951.00
