instance,mip,time,val
390_146_4_1,BinP,166.30,0.00
390_146_4_1,3Idx,304.56,1202.00
390_146_4_4,BinP,150.70,0.00
390_146_4_1,BinP,173.87,0.00
390_146_4_1,3Idx,304.16,1202.00
390_146_4_6,BinP,120.45,0.00
390_146_4_1,BinP,170.17,0.00
390_146_4_1,3Idx,305.07,1202.00
350_131_4_1,BinP,7.45,0.00
390_146_4_1,BinP,167.92,0.00
390_146_4_1,3Idx,302.72,101.00
370_138_4_5,BinP,60.72,0.00
390_146_4_1,BinP,176.88,0.00
390_146_4_1,3Idx,304.15,1202.00
360_135_4_8,BinP,15.62,0.00
360_135_4_8,3Idx,178.34,0.00
360_135_4_0,BinP,7.52,0.00
390_146_4_1,BinP,179.72,0.00
390_146_4_1,BinP,175.95,0.00
