instance,solver,time,val
400_160_3_33,BinP,107,400
400_160_3_33,3CapPerm,4,2042
400_160_3_33,3CapRec,0,1964
400_160_3_12,BinP,115,400
400_160_3_12,3CapRec,0,1920
400_160_3_2,BinP,114,400
400_160_3_2,3Idx,122,1697
400_160_3_2,3CapPerm,2,2008
400_160_3_2,3CapRec,0,2046
400_160_3_42,BinP,58,400
400_160_3_42,3CapPerm,13,1964
400_160_3_42,3CapRec,0,1999
400_160_3_27,BinP,103,400
400_160_3_27,3CapPerm,12,2014
400_160_3_27,3CapRec,0,2029
400_160_3_11,BinP,98,400
400_160_3_11,3CapPerm,15,2029
400_160_3_11,3CapRec,0,1871
400_160_3_8,BinP,50,400
400_160_3_8,3CapPerm,13,2002
400_160_3_8,3CapRec,0,1903
400_160_3_5,BinP,89,400
400_160_3_5,3CapPerm,13,2000
400_160_3_5,3CapRec,0,1917
400_160_3_19,3CapRec,0,2017
400_160_3_34,BinP,98,400
400_160_3_34,3CapPerm,14,2002
400_160_3_34,3CapRec,0,1924
400_160_3_37,BinP,112,400
400_160_3_37,3Idx,122,1804
400_160_3_37,3CapPerm,2,2050
400_160_3_37,3CapRec,0,2027
400_160_3_40,BinP,105,400
400_160_3_40,3CapPerm,12,1968
400_160_3_40,3CapRec,0,2090
400_160_3_24,BinP,103,400
400_160_3_24,3CapPerm,14,2124
400_160_3_24,3CapRec,0,2020
400_160_3_15,BinP,110,400
400_160_3_15,3CapPerm,18,1977
400_160_3_15,3CapRec,0,1979
400_160_3_36,BinP,61,400
400_160_3_36,3Idx,122,1802
400_160_3_36,3CapPerm,2,1900
400_160_3_36,3CapRec,0,1894
400_160_3_45,BinP,108,400
400_160_3_45,3CapPerm,2,2046
400_160_3_45,3CapRec,0,2029
400_160_3_49,BinP,80,400
400_160_3_49,3Idx,122,1801
400_160_3_49,3CapPerm,13,2041
400_160_3_49,3CapRec,0,1968
400_160_3_10,BinP,90,400
400_160_3_10,3CapPerm,12,2076
400_160_3_10,3CapRec,0,1999
400_160_3_4,BinP,62,400
400_160_3_4,3CapPerm,14,2048
400_160_3_4,3CapRec,0,1984
400_160_3_0,BinP,104,400
400_160_3_0,3CapPerm,12,2008
400_160_3_0,3CapRec,0,1946
400_160_3_3,BinP,102,400
400_160_3_3,3CapPerm,14,2125
400_160_3_3,3CapRec,0,2059
400_160_3_25,BinP,78,400
400_160_3_25,3CapPerm,13,1959
400_160_3_25,3CapRec,0,2036
400_160_3_14,BinP,120,401
400_160_3_14,3CapPerm,12,1948
400_160_3_14,3CapRec,0,1899
400_160_3_43,BinP,119,400
400_160_3_43,3CapPerm,12,1994
400_160_3_43,3CapRec,0,2012
400_160_3_22,BinP,120,648
400_160_3_22,3CapPerm,17,1972
400_160_3_22,3CapRec,0,2004
400_160_3_29,BinP,121,684
400_160_3_29,3CapPerm,2,1962
400_160_3_29,3CapRec,0,1981
400_160_3_46,BinP,103,400
400_160_3_46,3CapPerm,12,2084
400_160_3_46,3CapRec,0,1950
400_160_3_48,BinP,62,400
400_160_3_48,3CapPerm,13,1984
400_160_3_48,3CapRec,0,1964
400_160_3_38,BinP,104,400
400_160_3_38,3CapPerm,13,2056
400_160_3_38,3CapRec,0,2004
400_160_3_18,BinP,71,400
400_160_3_18,3Idx,122,1825
400_160_3_18,3CapPerm,12,1972
400_160_3_18,3CapRec,0,1921
400_160_3_9,BinP,72,400
400_160_3_9,3CapPerm,2,1995
400_160_3_9,3CapRec,0,1943
400_160_3_39,BinP,53,400
400_160_3_39,3Idx,122,1725
400_160_3_39,3CapPerm,2,2021
400_160_3_39,3CapRec,0,2067
400_160_3_17,BinP,102,400
400_160_3_17,3CapPerm,12,2026
400_160_3_17,3CapRec,0,1986
400_160_3_31,BinP,120,604
400_160_3_31,3CapPerm,17,1938
400_160_3_28,BinP,82,400
400_160_3_28,3CapPerm,12,1948
400_160_3_28,3CapRec,0,1989
400_160_3_7,BinP,65,400
400_160_3_7,3CapPerm,14,2012
400_160_3_7,3CapRec,0,1977
400_160_3_6,BinP,66,400
400_160_3_6,3Idx,122,1832
400_160_3_6,3CapPerm,2,1961
400_160_3_6,3CapRec,0,1987
400_160_3_20,BinP,120,623
400_160_3_20,3CapPerm,14,1923
400_160_3_20,3CapRec,0,1987
400_160_3_35,BinP,116,400
400_160_3_35,3CapPerm,18,1987
400_160_3_35,3CapRec,0,1971
400_160_3_23,BinP,102,400
400_160_3_23,3CapPerm,12,1972
400_160_3_23,3CapRec,0,1923
400_160_3_44,BinP,120,750
400_160_3_44,3CapRec,0,2038
400_160_3_16,BinP,80,400
400_160_3_16,3CapPerm,2,2006
400_160_3_16,3CapRec,0,1977
400_160_3_32,3CapRec,0,1942
400_160_3_30,BinP,103,400
400_160_3_30,3Idx,122,1904
400_160_3_30,3CapPerm,12,2000
400_160_3_30,3CapRec,0,1958
400_160_3_21,BinP,108,400
400_160_3_21,3CapPerm,15,1924
400_160_3_21,3CapRec,0,2014
400_160_3_47,BinP,124,2006
400_160_3_47,3CapPerm,14,1959
400_160_3_47,3CapRec,0,2066
400_160_3_1,3CapRec,0,1959
400_160_3_13,BinP,102,400
400_160_3_13,3CapPerm,16,1988
400_160_3_13,3CapRec,0,1923
400_160_3_41,BinP,120,528
400_160_3_41,3CapPerm,2,2068
400_160_3_41,3CapRec,0,2046
400_160_3_26,BinP,120,1944
400_160_3_26,3CapPerm,22,2059
400_160_3_26,3CapRec,0,2053
